,Region,453,458,465,472,479
0,Belgium,,20804,19120,17362,15080
1,Bulgaria,,11228,8840,6492,4641
2,Czechia,,14906,9867,6513,4228
3,Denmark,,4632,4599,3576,3241
4,Germany,,125839,86540,74808,61875
5,Estonia,,2395,2372,1773,1283
6,Ireland,,2260,1867,1610,1352
7,Greece,,19795,18947,18319,17752
8,Spain,,25227,12945,12521,12663
9,France,,191105,151338,124294,100498
10,Croatia,,15249,16701,19345,22547
11,Italy,,89402,75758,67385,60842
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,3213,3019,2778,2523
14,Lithuania,,7271,7418,7890,8256
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,23478,16603,12399,9348
17,Malta,,252,144,78,40
18,Netherlands,,51636,48918,45589,41317
19,Austria,,13717,12045,10107,8402
20,Poland,,97236,77909,68192,58114
21,Portugal,,3256,3167,3004,2839
22,Romania,,21215,17740,15218,12804
23,Slovenia,,4537,4152,3852,3531
24,Slovakia,,3398,2438,1717,1216
25,Finland,,1257,1764,1386,1077
26,Sweden,,34832,15737,10333,6780
27,United Kingdom,,13596,11401,9028,6985
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,3984,3063,2485,1936
31,Switzerland,,9745,3982,2657,1778
