,Region,439,444,451,458,465
0,Belgium,,33747,30746,31671,34052
1,Bulgaria,,25391,26931,29434,30752
2,Czechia,,31954,22830,18088,14150
3,Denmark,,5217,5514,6858,8290
4,Germany,,76261,76918,79515,83590
5,Estonia,,5448,4492,4059,3606
6,Ireland,,3858,3404,3222,3134
7,Greece,,23540,27837,31631,33907
8,Spain,,38521,15221,6742,4099
9,France,,345492,390421,436247,504549
10,Croatia,,16910,24041,33766,48166
11,Italy,,139864,145813,147784,147747
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,2620,2307,1952,1677
14,Lithuania,,6460,8060,7786,8151
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,60588,61715,67238,69649
17,Malta,,291,200,146,101
18,Netherlands,,54553,55636,56538,58469
19,Austria,,22035,22048,21160,19965
20,Poland,,224839,260251,314291,380133
21,Portugal,,2563,1774,1551,1291
22,Romania,,41895,45880,50044,54106
23,Slovenia,,7791,8026,7487,6979
24,Slovakia,,5709,4311,3179,2271
25,Finland,,3348,2822,2614,2414
26,Sweden,,27753,11294,8819,6894
27,United Kingdom,,22893,16632,13198,10724
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,6175,7194,8052,8787
31,Switzerland,,12690,6946,7147,7355
