,State,305,311,318
0,Washington,141260,16811,19188
1,Illinois,656298,82409,83008
2,California,1114524,96406,106641
3,Arizona,299665,22339,23538
4,Massachusetts,206850,18874,20158
5,Wisconsin,376238,45823,45097
6,Texas,1153529,94872,107665
7,Nebraska,114061,17454,18712
8,Utah,177176,18098,19663
9,Oregon,65170,9983,11590
10,Florida,938414,62813,68169
11,New York,596214,38814,41957
12,Rhode Island,48001,5918,6536
13,Georgia,449132,30708,36379
14,New Hampshire,17637,3068,3308
15,North Carolina,336775,26614,29383
16,New Jersey,306007,29127,30338
17,Colorado,198600,34323,35084
18,Maryland,182139,16576,17094
19,Nevada,133888,13555,13586
20,Tennessee,340476,31589,33796
21,Hawaii,17483,726,818
22,Indiana,295357,46614,49693
23,Kentucky,158100,24133,27717
24,Minnesota,270157,41818,40307
25,Oklahoma,174330,22209,23849
26,Pennsylvania,313358,44840,45782
27,South Carolina,206295,14520,16443
28,District of Columbia,20151,1190,1205
29,Kansas,137085,21574,23116
30,Missouri,277112,31489,35056
31,Vermont,3629,949,1170
32,Virginia,217796,19499,23670
33,Connecticut,101469,12444,13017
34,Iowa,211664,27266,28264
35,Louisiana,220192,23489,24498
36,Ohio,351419,56792,61159
37,Michigan,329021,54239,57121
38,South Dakota,73065,8471,8886
39,Arkansas,145173,12394,13098
40,Delaware,31808,3167,3345
41,Mississippi,143180,10451,11397
42,New Mexico,81896,15307,16015
43,North Dakota,72683,8437,8197
44,Wyoming,28169,5798,6027
45,Alaska,27773,4314,4126
46,Maine,10359,1735,2036
47,Alabama,232506,16164,17055
48,Idaho,91653,10205,10725
49,Montana,55680,9993,11067
50,Puerto Rico,47459,NaN,NaN
51,Virgin Islands,1504,NaN,NaN
52,Guam,6452,NaN,NaN
53,West Virginia,40478,8056,8912
54,Northern Mariana Islands,104,NaN,NaN
55,American Samoa,0,NaN,NaN
