,State,375,381,388
0,Washington,311597,10761,10117
1,Illinois,1126301,25526,25164
2,California,3324264,125088,117971
3,Arizona,758404,24508,19673
4,Massachusetts,524025,18374,16165
5,Wisconsin,592140,9378,8383
6,Texas,2376344,109126,103906
7,Nebraska,190713,3551,3432
8,Utah,346624,6506,5813
9,Oregon,142416,4819,4722
10,Florida,1721377,61176,56158
11,New York,1419907,67754,60410
12,Rhode Island,114438,3850,3196
13,Georgia,909445,38222,35740
14,New Hampshire,65695,2801,2293
15,North Carolina,757526,26233,23130
16,New Jersey,696829,30559,27905
17,Colorado,396185,9849,9280
18,Maryland,354473,12413,11555
19,Nevada,278308,6806,6536
20,Tennessee,727861,16127,15070
21,Hawaii,26072,783,783
22,Indiana,626682,15151,14117
23,Kentucky,362881,13848,12395
24,Minnesota,461807,6193,5803
25,Oklahoma,389472,13753,12636
26,Pennsylvania,846046,30299,26335
27,South Carolina,443386,22430,20552
28,District of Columbia,36872,1464,1346
29,Kansas,276956,7066,6575
30,Missouri,473977,10794,10800
31,Vermont,11965,659,545
32,Virginia,504779,27107,24708
33,Connecticut,250023,10194,8870
34,Iowa,319408,6260,5894
35,Louisiana,400626,14514,13288
36,Ohio,895792,27646,24808
37,Michigan,610138,14637,14652
38,South Dakota,108250,1303,1353
39,Arkansas,295268,9051,7838
40,Delaware,78071,3169,2825
41,Mississippi,275001,9923,9179
42,New Mexico,174064,5400,5494
43,North Dakota,97629,867,869
44,Wyoming,51912,1119,1063
45,Alaska,54351,1004,983
46,Maine,39324,1890,1603
47,Alabama,459639,13540,12160
48,Idaho,162683,2899,2656
49,Montana,93949,2690,2668
50,Puerto Rico,93624,NaN,NaN
51,Virgin Islands,2398,NaN,NaN
52,Guam,7579,NaN,NaN
53,West Virginia,121001,4322,3774
54,Northern Mariana Islands,132,NaN,NaN
55,American Samoa,0,NaN,NaN
