,State,312,318,325
0,Washington,162700,18803,18825
1,Illinois,720114,61829,59577
2,California,1215455,94742,95885
3,Arizona,325995,23766,22668
4,Massachusetts,224964,16898,17244
5,Wisconsin,409054,27905,25306
6,Texas,1225118,77664,81526
7,Nebraska,126466,12204,11837
8,Utah,193809,13363,12993
9,Oregon,74119,9604,9972
10,Florida,992660,53072,52353
11,New York,641161,41890,41621
12,Rhode Island,53954,5428,5282
13,Georgia,469516,23925,25408
14,New Hampshire,20516,2876,2884
15,North Carolina,361778,24625,24290
16,New Jersey,334114,25044,24868
17,Colorado,228772,26712,24884
18,Maryland,196447,13196,12805
19,Nevada,150527,14668,13829
20,Tennessee,366518,25658,25166
21,Hawaii,18138,793,817
22,Indiana,333312,37773,36308
23,Kentucky,176925,19293,19831
24,Minnesota,312969,33958,29618
25,Oklahoma,195545,21829,21321
26,Pennsylvania,360944,42930,40776
27,South Carolina,216129,10906,11436
28,District of Columbia,21448,1052,1040
29,Kansas,155500,17725,17506
30,Missouri,302409,25146,25467
31,Vermont,4100,649,705
32,Virginia,235942,19371,20137
33,Connecticut,112581,10221,9895
34,Iowa,228690,17436,17126
35,Louisiana,232245,13786,13708
36,Ohio,414432,57809,55395
37,Michigan,378152,43881,41567
38,South Dakota,79900,6460,6280
39,Arkansas,156247,10380,10073
40,Delaware,35251,3191,3145
41,Mississippi,151785,7440,7313
42,New Mexico,95417,12491,11559
43,North Dakota,78658,5335,4839
44,Wyoming,32489,4096,3753
45,Alaska,32065,3386,3201
46,Maine,11508,1277,1366
47,Alabama,247229,13005,12366
48,Idaho,100484,8613,8524
49,Montana,61801,6960,7194
50,Puerto Rico,51702,NaN,NaN
51,Virgin Islands,1544,NaN,NaN
52,Guam,6768,NaN,NaN
53,West Virginia,46997,6363,6379
54,Northern Mariana Islands,105,NaN,NaN
55,American Samoa,0,NaN,NaN
