,State,347,353,360
0,Washington,255396,11781,12852
1,Illinois,979821,42090,43462
2,California,2426930,222880,216218
3,Arizona,556384,36090,33687
4,Massachusetts,387662,27305,27003
5,Wisconsin,526245,16799,16901
6,Texas,1810320,125316,131690
7,Nebraska,169000,7851,8369
8,Utah,283473,10460,10250
9,Oregon,117745,8163,8610
10,Florida,1365436,80705,80981
11,New York,1023897,74159,72373
12,Rhode Island,87949,4085,4126
13,Georgia,690900,52241,53460
14,New Hampshire,46450,4176,3917
15,North Carolina,564924,39238,38004
16,New Jersey,492042,28407,28219
17,Colorado,341250,15626,15896
18,Maryland,285319,16567,16564
19,Nevada,231614,13170,12702
20,Tennessee,608297,36575,35629
21,Hawaii,22303,1019,1146
22,Indiana,526071,29830,29792
23,Kentucky,276825,19206,19935
24,Minnesota,420544,11146,11331
25,Oklahoma,304072,19568,20081
26,Pennsylvania,664913,44070,41937
27,South Carolina,321669,23117,24288
28,District of Columbia,29764,1704,1692
29,Kansas,230314,16271,16256
30,Missouri,412838,19695,20946
31,Vermont,7793,845,880
32,Virginia,363765,28143,29617
33,Connecticut,190120,15758,15074
34,Iowa,284715,10782,11744
35,Louisiana,321058,18544,19248
36,Ohio,721481,44585,44420
37,Michigan,538121,21504,23182
38,South Dakota,100532,3710,4183
39,Arkansas,233475,15304,15065
40,Delaware,59484,4133,4245
41,Mississippi,222061,14874,15001
42,New Mexico,146394,8671,9072
43,North Dakota,93041,2278,2518
44,Wyoming,44875,1784,1984
45,Alaska,48098,2083,2079
46,Maine,25592,3128,3088
47,Alabama,371934,22642,22077
48,Idaho,142507,6130,6243
49,Montana,82381,3915,4399
50,Puerto Rico,78169,NaN,NaN
51,Virgin Islands,2042,NaN,NaN
52,Guam,7326,NaN,NaN
53,West Virginia,91058,8357,8272
54,Northern Mariana Islands,122,NaN,NaN
55,American Samoa,0,NaN,NaN
