,State,333,339,346
0,Washington,222600,14144,14125
1,Illinois,900370,52069,51176
2,California,1884033,250274,240092
3,Arizona,453597,36449,33437
4,Massachusetts,323531,27614,25679
5,Wisconsin,492724,20988,19731
6,Texas,1593471,119738,128973
7,Nebraska,156382,8096,8109
8,Utah,250964,11166,10667
9,Oregon,102930,9246,9328
10,Florida,1201566,72197,73302
11,New York,848042,63070,60179
12,Rhode Island,77812,6582,6209
13,Georgia,587918,41511,41811
14,New Hampshire,36542,4118,3671
15,North Carolina,479168,36998,35389
16,New Jersey,432592,27887,27334
17,Colorado,308890,19923,19762
18,Maryland,250808,15281,14819
19,Nevada,203945,16388,17094
20,Tennessee,519687,44518,41585
21,Hawaii,20577,951,1078
22,Indiana,464354,34211,32946
23,Kentucky,242320,19295,19292
24,Minnesota,397319,16285,14999
25,Oklahoma,260838,21517,21759
26,Pennsylvania,559256,52613,46512
27,South Carolina,273406,21020,20991
28,District of Columbia,26601,1440,1318
29,Kansas,203654,14231,13891
30,Missouri,374812,21765,21967
31,Vermont,6443,838,862
32,Virginia,306848,23475,23410
33,Connecticut,162782,14154,13555
34,Iowa,267329,12889,13161
35,Louisiana,286145,16869,16575
36,Ohio,622806,52324,49178
37,Michigan,496056,30411,30004
38,South Dakota,94727,4080,4090
39,Arkansas,201650,13588,12804
40,Delaware,50616,4878,4567
41,Mississippi,194333,13297,12976
42,New Mexico,129993,10484,10562
43,North Dakota,90035,2403,2413
44,Wyoming,41662,2409,2395
45,Alaska,43871,2588,2646
46,Maine,18946,2752,2600
47,Alabama,322452,22682,21525
48,Idaho,129960,6980,6481
49,Montana,77170,5056,5458
50,Puerto Rico,68433,NaN,NaN
51,Virgin Islands,1921,NaN,NaN
52,Guam,7193,NaN,NaN
53,West Virginia,72342,7870,7495
54,Northern Mariana Islands,116,NaN,NaN
55,American Samoa,0,NaN,NaN
