,State,354,360,367
0,Washington,271595,26096,29055
1,Illinois,1028750,50662,54902
2,California,2717862,250525,258240
3,Arizona,618546,54090,53594
4,Massachusetts,432791,37762,43195
5,Wisconsin,550260,23428,25174
6,Texas,1968189,152841,165743
7,Nebraska,176026,8964,10222
8,Utah,305999,15635,17720
9,Oregon,125683,9528,10994
10,Florida,1477010,102743,110969
11,New York,1135592,95121,96924
12,Rhode Island,97614,6028,6459
13,Georgia,757045,63281,70717
14,New Hampshire,51600,5432,5961
15,North Carolina,623188,52359,55938
16,New Jersey,584828,37837,43082
17,Colorado,361148,21243,24177
18,Maryland,306674,21253,23117
19,Nevada,248569,16528,17257
20,Tennessee,653869,38270,40554
21,Hawaii,23586,1492,1842
22,Indiana,563653,36169,39873
23,Kentucky,303624,27682,30596
24,Minnesota,436572,16855,18141
25,Oklahoma,331362,28956,32019
26,Pennsylvania,723865,52812,58103
27,South Carolina,354525,37072,40521
28,District of Columbia,31791,1900,2341
29,Kansas,243648,15735,17175
30,Missouri,434711,23646,27069
31,Vermont,8967,1329,1568
32,Virginia,398856,34946,38923
33,Connecticut,205994,15369,15865
34,Iowa,296682,14776,16940
35,Louisiana,346829,25268,27499
36,Ohio,777065,55056,59387
37,Michigan,562553,28110,32613
38,South Dakota,103318,4491,5096
39,Arkansas,255076,19482,20453
40,Delaware,65273,5474,6612
41,Mississippi,239082,17631,19775
42,New Mexico,156157,11366,13665
43,North Dakota,94716,2619,3025
44,Wyoming,46832,2662,3120
45,Alaska,50218,2427,2778
46,Maine,29298,3716,3871
47,Alabama,401900,28296,30030
48,Idaho,149667,7345,8030
49,Montana,86324,6046,7088
50,Puerto Rico,83119,NaN,NaN
51,Virgin Islands,2143,NaN,NaN
52,Guam,7399,NaN,NaN
53,West Virginia,101212,10295,11022
54,Northern Mariana Islands,125,NaN,NaN
55,American Samoa,0,NaN,NaN
