,State,291,297,304
0,Washington,117331,11108,14789
1,Illinois,487987,74224,81785
2,California,972713,50690,65398
3,Arizona,259264,13502,16032
4,Massachusetts,171399,12855,16062
5,Wisconsin,281910,40878,45152
6,Texas,1003478,67199,81976
7,Nebraska,83969,14479,17753
8,Utah,132621,14785,17363
9,Oregon,50448,6301,8232
10,Florida,843897,43841,54323
11,New York,529036,23410,29491
12,Rhode Island,36380,2915,3350
13,Georgia,406061,15165,19863
14,New Hampshire,12488,1551,1968
15,North Carolina,293339,19904,23763
16,New Jersey,254595,18465,21400
17,Colorado,130984,25634,31945
18,Maryland,153996,9674,11486
19,Nevada,110022,9219,10370
20,Tennessee,281851,20365,23872
21,Hawaii,16179,724,822
22,Indiana,210374,32997,40294
23,Kentucky,120838,15883,19963
24,Minnesota,180862,30062,33200
25,Oklahoma,136258,11672,14569
26,Pennsylvania,235014,25014,30742
27,South Carolina,185688,10077,12331
28,District of Columbia,18001,842,1002
29,Kansas,104622,15387,19060
30,Missouri,212869,27001,32800
31,Vermont,2392,360,537
32,Virginia,192175,12171,15256
33,Connecticut,78125,8638,10567
34,Iowa,154778,25435,29704
35,Louisiana,192981,6358,8176
36,Ohio,250268,37705,46742
37,Michigan,229073,38097,45735
38,South Dakota,55404,8873,10001
39,Arkansas,121866,10490,12100
40,Delaware,26603,1650,2037
41,Mississippi,126689,7088,8186
42,New Mexico,54881,7874,9092
43,North Dakota,54305,10197,11420
44,Wyoming,17310,3968,4714
45,Alaska,19826,3077,3395
46,Maine,7693,1151,1401
47,Alabama,204665,11655,13252
48,Idaho,72961,9354,11322
49,Montana,39679,7502,8811
50,Puerto Rico,38100,NaN,NaN
51,Virgin Islands,1405,NaN,NaN
52,Guam,5077,NaN,NaN
53,West Virginia,28404,4221,5220
54,Northern Mariana Islands,100,NaN,NaN
55,American Samoa,0,NaN,NaN
