,State,319,325,332
0,Washington,177447,18005,19268
1,Illinois,787573,69549,71715
2,California,1366673,145010,151951
3,Arizona,364276,33603,32734
4,Massachusetts,256844,27805,28953
5,Wisconsin,441067,31538,31073
6,Texas,1322738,118984,135431
7,Nebraska,139834,14273,15088
8,Utah,215407,15470,16535
9,Oregon,84496,12523,13847
10,Florida,1058074,70972,76376
11,New York,705827,62514,64972
12,Rhode Island,62137,5843,6007
13,Georgia,501405,38344,44890
14,New Hampshire,24771,3745,3859
15,North Carolina,394990,32673,34265
16,New Jersey,368016,36461,38053
17,Colorado,260581,32501,32822
18,Maryland,215027,18265,19740
19,Nevada,168140,16394,16808
20,Tennessee,400594,35114,37536
21,Hawaii,18842,892,1018
22,Indiana,381617,49083,50564
23,Kentucky,200631,27614,29537
24,Minnesota,350862,37845,36462
25,Oklahoma,216486,21613,22644
26,Pennsylvania,423100,56952,56591
27,South Carolina,232099,18485,21471
28,District of Columbia,23136,1682,1780
29,Kansas,171364,17912,19064
30,Missouri,329420,29214,31653
31,Vermont,5015,983,1100
32,Virginia,255053,22289,26333
33,Connecticut,127715,14916,15010
34,Iowa,244691,18619,19908
35,Louisiana,251123,18963,20635
36,Ohio,475024,62230,63008
37,Michigan,426576,46851,48110
38,South Dakota,85991,6708,6990
39,Arkansas,170924,14953,15200
40,Delaware,39912,4313,4467
41,Mississippi,164931,14010,14629
42,New Mexico,108088,13508,13575
43,North Dakota,82981,4646,4676
44,Wyoming,36317,4099,4273
45,Alaska,37036,4522,4530
46,Maine,13348,2171,2403
47,Alabama,269877,21948,21896
48,Idaho,110510,9878,9981
49,Montana,67875,7707,8674
50,Puerto Rico,56671,NaN,NaN
51,Virgin Islands,1633,NaN,NaN
52,Guam,6959,NaN,NaN
53,West Virginia,54997,8443,8921
54,Northern Mariana Islands,109,NaN,NaN
55,American Samoa,0,NaN,NaN
