,State,403,409,416
0,Washington,339773,5712,5459
1,Illinois,1186613,13857,14609
2,California,3566914,39075,40046
3,Arizona,816782,8409,7951
4,Massachusetts,581148,9809,9303
5,Wisconsin,617367,4842,4679
6,Texas,2653013,54348,52905
7,Nebraska,200882,2121,2184
8,Utah,371235,3260,2988
9,Oregon,155597,2710,2784
10,Florida,1909221,37392,35587
11,New York,1643867,43075,38095
12,Rhode Island,125622,1733,1631
13,Georgia,1006521,20791,20535
14,New Hampshire,75424,1587,1390
15,North Carolina,858548,15981,14634
16,New Jersey,789356,20232,19201
17,Colorado,428303,7348,7191
18,Maryland,382099,6028,6209
19,Nevada,293754,3527,3489
20,Tennessee,775004,9266,9193
21,Hawaii,27759,347,308
22,Indiana,661673,6716,6821
23,Kentucky,404622,7065,6826
24,Minnesota,484594,5168,4871
25,Oklahoma,424508,5347,5450
26,Pennsylvania,933261,15229,13883
27,South Carolina,516823,12683,11780
28,District of Columbia,40598,801,848
29,Kansas,295997,3108,3201
30,Missouri,495047,4442,4938
31,Vermont,15198,608,535
32,Virginia,576050,12086,11967
33,Connecticut,279946,6201,5985
34,Iowa,363636,3957,3978
35,Louisiana,430100,6416,6401
36,Ohio,967422,13528,13380
37,Michigan,645550,9606,10646
38,South Dakota,112427,1086,1076
39,Arkansas,322415,3636,3458
40,Delaware,86799,1924,1897
41,Mississippi,294795,4198,4287
42,New Mexico,185132,2611,2850
43,North Dakota,99809,561,537
44,Wyoming,54394,653,650
45,Alaska,58263,653,603
46,Maine,44635,974,900
47,Alabama,493252,6639,6495
48,Idaho,171140,1834,1665
49,Montana,99954,1336,1428
50,Puerto Rico,100297,NaN,NaN
51,Virgin Islands,2646,NaN,NaN
52,Guam,7734,NaN,NaN
53,West Virginia,131855,1991,1868
54,Northern Mariana Islands,143,NaN,NaN
55,American Samoa,0,NaN,NaN
