,State,508,514,521,528,535,542
0,Washington,NaN,28,16,11,8,6
1,Illinois,NaN,30,16,10,6,4
2,California,NaN,27,16,11,8,6
3,Arizona,NaN,33,26,22,18,15
4,Massachusetts,NaN,7,3,1,1,0
5,Wisconsin,NaN,15,11,8,6,5
6,Texas,NaN,84,56,42,32,25
7,Nebraska,NaN,3,2,1,0,0
8,Utah,NaN,12,8,6,4,3
9,Oregon,NaN,15,9,7,5,3
10,Florida,NaN,60,41,28,19,13
11,New York,NaN,38,20,13,10,8
12,Rhode Island,NaN,2,1,0,0,0
13,Georgia,NaN,16,12,10,9,7
14,New Hampshire,NaN,2,1,0,0,0
15,North Carolina,NaN,50,34,26,21,18
16,New Jersey,NaN,13,6,3,1,1
17,Colorado,NaN,11,6,3,2,2
18,Maryland,NaN,11,6,4,3,2
19,Nevada,NaN,12,8,5,3,2
20,Tennessee,NaN,23,18,14,12,10
21,Hawaii,NaN,4,3,2,1,1
22,Indiana,NaN,32,24,19,15,12
23,Kentucky,NaN,10,7,5,5,4
24,Minnesota,NaN,15,7,4,2,2
25,Oklahoma,NaN,11,8,6,5,4
26,Pennsylvania,NaN,40,21,11,7,4
27,South Carolina,NaN,15,10,8,6,4
28,District of Columbia,NaN,0,0,0,0,0
29,Kansas,NaN,12,9,7,6,4
30,Missouri,NaN,15,10,8,7,6
31,Vermont,NaN,0,0,0,0,0
32,Virginia,NaN,15,8,6,4,3
33,Connecticut,NaN,3,1,1,0,0
34,Iowa,NaN,3,2,1,1,0
35,Louisiana,NaN,16,14,14,15,16
36,Ohio,NaN,34,25,17,12,10
37,Michigan,NaN,40,20,11,7,5
38,South Dakota,NaN,1,0,0,0,0
39,Arkansas,NaN,18,14,12,10,8
40,Delaware,NaN,2,1,0,0,0
41,Mississippi,NaN,15,12,10,9,8
42,New Mexico,NaN,4,2,2,1,1
43,North Dakota,NaN,3,2,1,1,0
44,Wyoming,NaN,6,6,5,4,3
45,Alaska,NaN,1,1,0,0,0
46,Maine,NaN,6,2,1,0,0
47,Alabama,NaN,39,28,20,16,15
48,Idaho,NaN,6,5,4,3,2
49,Montana,NaN,7,5,4,2,2
50,Puerto Rico,NaN,13,9,6,5,4
51,Virgin Islands,NaN,1,1,1,0,0
52,Guam,NaN,0,0,0,0,0
53,West Virginia,NaN,8,7,6,5,5
54,Northern Mariana Islands,NaN,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
