,State,480,486,493,500,507,514,521
0,Washington,NaN,96,79,77,72,65,43
1,Illinois,NaN,110,76,59,45,34,21
2,California,NaN,73,44,37,31,26,14
3,Arizona,NaN,27,22,23,24,25,20
4,Massachusetts,NaN,40,22,17,13,10,5
5,Wisconsin,NaN,42,33,30,28,25,18
6,Texas,NaN,116,83,75,69,63,44
7,Nebraska,NaN,12,7,5,4,3,2
8,Utah,NaN,15,12,9,7,6,4
9,Oregon,NaN,44,34,30,26,23,16
10,Florida,NaN,165,101,79,71,68,56
11,New York,NaN,160,94,69,51,37,21
12,Rhode Island,NaN,14,10,8,6,4,2
13,Georgia,NaN,33,24,23,23,24,21
14,New Hampshire,NaN,10,6,4,2,1,1
15,North Carolina,NaN,112,97,96,94,89,69
16,New Jersey,NaN,73,41,29,20,15,8
17,Colorado,NaN,44,26,19,15,13,8
18,Maryland,NaN,42,29,25,22,18,11
19,Nevada,NaN,27,17,13,11,10,7
20,Tennessee,NaN,56,34,27,22,20,16
21,Hawaii,NaN,12,9,7,6,4,2
22,Indiana,NaN,52,41,40,39,39,32
23,Kentucky,NaN,24,16,13,10,8,5
24,Minnesota,NaN,85,54,47,40,33,18
25,Oklahoma,NaN,23,18,16,15,14,11
26,Pennsylvania,NaN,210,137,108,84,63,37
27,South Carolina,NaN,49,42,40,37,33,27
28,District of Columbia,NaN,2,1,1,0,0,0
29,Kansas,NaN,9,5,4,3,2,1
30,Missouri,NaN,35,23,18,15,13,9
31,Vermont,NaN,1,0,0,0,0,0
32,Virginia,NaN,62,45,38,31,25,16
33,Connecticut,NaN,21,12,9,6,4,2
34,Iowa,NaN,13,9,7,5,4,3
35,Louisiana,NaN,16,10,10,10,11,11
36,Ohio,NaN,102,79,70,63,55,43
37,Michigan,NaN,277,178,137,106,81,50
38,South Dakota,NaN,4,2,1,1,0,0
39,Arkansas,NaN,16,14,14,15,16,13
40,Delaware,NaN,8,5,3,2,2,1
41,Mississippi,NaN,19,13,11,10,10,9
42,New Mexico,NaN,7,5,4,3,2,1
43,North Dakota,NaN,7,5,4,3,3,2
44,Wyoming,NaN,6,5,5,5,5,5
45,Alaska,NaN,4,3,3,2,2,1
46,Maine,NaN,26,18,15,13,10,6
47,Alabama,NaN,53,47,53,60,67,57
48,Idaho,NaN,13,10,9,8,7,6
49,Montana,NaN,15,11,9,8,6,5
50,Puerto Rico,NaN,44,33,28,25,22,16
51,Virgin Islands,NaN,1,1,1,1,1,0
52,Guam,NaN,0,0,0,0,0,0
53,West Virginia,NaN,28,19,16,14,13,11
54,Northern Mariana Islands,NaN,0,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
