,State,802,808,815,822,829,836,843,850,857,864,871,878,885,892,899,906,913
0,Washington,NaN,22,21,24,28,35,45,51,51,42,37,33,32,39,42,50,65
1,Illinois,NaN,88,103,145,140,132,123,116,92,63,52,44,40,37,40,44,56
2,California,NaN,97,94,125,141,159,175,209,231,264,299,348,424,570,621,723,827
3,Arizona,NaN,12,12,15,22,35,55,74,89,99,118,130,156,159,155,168,186
4,Massachusetts,NaN,44,55,73,78,83,83,79,69,45,33,27,26,26,28,33,40
5,Wisconsin,NaN,17,20,24,33,38,40,42,44,39,32,29,30,28,23,22,22
6,Texas,NaN,17,17,19,30,51,102,184,263,304,345,420,562,634,665,707,758
7,Nebraska,NaN,13,14,16,15,17,18,18,14,12,10,9,7,6,5,4,4
8,Utah,NaN,3,2,3,5,6,10,12,14,13,13,13,16,17,23,25,29
9,Oregon,NaN,7,6,8,11,14,20,27,25,18,15,14,15,17,21,23,27
10,Florida,NaN,20,20,24,40,71,121,222,255,218,158,132,154,329,560,899,1324
11,New York,NaN,328,534,772,685,531,405,366,232,147,98,74,64,59,70,86,96
12,Rhode Island,NaN,4,5,8,9,8,9,10,8,6,5,4,4,4,4,4,5
13,Georgia,NaN,10,11,16,23,35,50,76,98,90,98,109,119,134,141,160,159
14,New Hampshire,NaN,4,5,6,7,8,8,8,7,5,4,3,3,3,3,3,4
15,North Carolina,NaN,23,27,37,50,61,65,77,86,67,67,62,62,72,69,62,65
16,New Jersey,NaN,66,116,178,154,118,95,78,59,43,37,34,30,25,21,23,27
17,Colorado,NaN,21,29,43,51,54,60,64,57,38,30,23,21,22,20,21,22
18,Maryland,NaN,22,33,53,59,61,63,62,55,43,35,31,30,32,29,28,30
19,Nevada,NaN,8,9,12,16,20,21,25,25,22,23,27,30,34,43,48,60
20,Tennessee,NaN,26,31,35,41,46,54,57,53,45,37,37,40,44,51,59,74
21,Hawaii,NaN,1,1,1,2,3,5,6,8,8,7,8,10,10,10,11,14
22,Indiana,NaN,33,42,52,66,72,69,66,57,38,31,27,28,32,30,33,33
23,Kentucky,NaN,11,14,19,26,33,38,47,45,39,37,36,33,27,23,20,19
24,Minnesota,NaN,22,27,36,44,45,48,48,40,29,27,24,22,21,19,18,19
25,Oklahoma,NaN,3,2,2,3,5,7,10,11,11,10,10,14,22,32,47,68
26,Pennsylvania,NaN,58,76,114,145,148,156,159,133,94,70,57,49,53,50,51,57
27,South Carolina,NaN,8,11,17,29,39,51,64,67,65,70,74,72,69,62,66,62
28,District of Columbia,NaN,3,5,7,7,8,8,8,6,5,4,3,3,3,3,3,3
29,Kansas,NaN,1,1,1,2,3,5,8,9,9,9,10,11,12,15,19,23
30,Missouri,NaN,3,3,4,7,12,16,23,26,24,22,24,30,50,62,83,119
31,Vermont,NaN,2,2,3,4,5,5,5,4,2,1,1,1,1,1,1,1
32,Virginia,NaN,17,25,38,54,62,69,72,62,53,46,43,41,35,34,34,38
33,Connecticut,NaN,29,44,68,62,54,47,40,29,18,14,11,11,9,10,11,14
34,Iowa,NaN,11,12,14,23,28,32,37,33,31,26,23,23,26,23,22,23
35,Louisiana,NaN,9,12,17,25,35,46,52,51,39,32,35,38,45,53,57,76
36,Ohio,NaN,52,72,102,135,159,164,178,169,127,101,88,89,80,77,77,79
37,Michigan,NaN,110,138,198,177,142,123,103,73,43,28,22,18,16,12,14,14
38,South Dakota,NaN,1,1,1,2,3,5,8,8,5,4,3,3,4,4,4,5
39,Arkansas,NaN,3,3,4,5,8,12,15,16,13,13,13,16,25,36,49,63
40,Delaware,NaN,3,5,7,8,9,8,9,7,5,4,4,4,3,4,4,5
41,Mississippi,NaN,6,8,12,17,22,28,32,31,23,21,20,20,24,28,31,36
42,New Mexico,NaN,4,4,5,8,10,14,17,18,16,16,19,19,18,17,16,17
43,North Dakota,NaN,1,1,2,3,3,5,6,6,4,4,4,4,5,5,5,6
44,Wyoming,NaN,1,1,1,2,3,4,5,5,4,3,3,3,3,3,3,3
45,Alaska,NaN,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3
46,Maine,NaN,6,7,8,10,11,13,13,12,7,5,4,3,3,3,3,3
47,Alabama,NaN,7,8,12,19,30,46,58,64,60,57,58,51,54,49,47,52
48,Idaho,NaN,9,8,9,11,10,10,10,9,8,7,6,7,8,9,10,11
49,Montana,NaN,1,1,1,1,2,4,7,6,5,4,3,4,5,7,7,9
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,7,9,15,20,23,24,27,22,14,11,10,9,8,8,9,10
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
