,State,459,465,472,479,486,493,500
0,Washington,NaN,91,90,91,85,64,66
1,Illinois,NaN,184,176,171,150,95,75
2,California,NaN,131,95,74,56,42,42
3,Arizona,NaN,13,11,11,11,13,17
4,Massachusetts,NaN,95,88,84,74,49,40
5,Wisconsin,NaN,44,39,36,32,25,25
6,Texas,NaN,137,117,101,80,51,45
7,Nebraska,NaN,27,22,19,15,10,8
8,Utah,NaN,16,12,10,9,7,8
9,Oregon,NaN,54,53,56,54,45,54
10,Florida,NaN,345,289,242,188,130,119
11,New York,NaN,386,299,259,218,142,123
12,Rhode Island,NaN,25,22,20,17,10,8
13,Georgia,NaN,71,52,43,35,26,26
14,New Hampshire,NaN,26,23,21,17,11,9
15,North Carolina,NaN,82,77,79,77,68,76
16,New Jersey,NaN,245,192,167,139,77,56
17,Colorado,NaN,64,60,59,55,39,34
18,Maryland,NaN,102,99,102,94,64,58
19,Nevada,NaN,19,17,15,12,9,10
20,Tennessee,NaN,84,74,65,51,34,32
21,Hawaii,NaN,12,12,13,13,11,11
22,Indiana,NaN,79,77,76,71,58,66
23,Kentucky,NaN,39,32,27,21,14,12
24,Minnesota,NaN,111,111,109,96,70,63
25,Oklahoma,NaN,31,28,25,22,17,17
26,Pennsylvania,NaN,403,311,272,233,160,157
27,South Carolina,NaN,44,43,41,35,25,23
28,District of Columbia,NaN,6,5,5,5,3,3
29,Kansas,NaN,17,14,11,8,5,4
30,Missouri,NaN,72,60,50,39,24,21
31,Vermont,NaN,8,7,7,6,4,4
32,Virginia,NaN,116,104,93,76,51,48
33,Connecticut,NaN,61,50,44,39,27,21
34,Iowa,NaN,60,57,52,43,27,22
35,Louisiana,NaN,24,19,17,15,11,12
36,Ohio,NaN,148,137,126,106,78,79
37,Michigan,NaN,529,477,432,355,211,165
38,South Dakota,NaN,10,8,7,5,3,2
39,Arkansas,NaN,15,12,13,12,9,8
40,Delaware,NaN,21,19,18,15,9,7
41,Mississippi,NaN,13,12,11,9,6,6
42,New Mexico,NaN,13,11,11,11,9,10
43,North Dakota,NaN,8,6,5,4,2,2
44,Wyoming,NaN,4,4,4,3,3,3
45,Alaska,NaN,6,6,5,5,3,3
46,Maine,NaN,30,32,34,31,23,23
47,Alabama,NaN,34,25,20,16,12,13
48,Idaho,NaN,19,17,16,14,10,9
49,Montana,NaN,13,12,11,9,7,6
50,Puerto Rico,NaN,96,89,85,72,46,44
51,Virgin Islands,NaN,0,0,0,0,0,0
52,Guam,NaN,0,0,0,0,0,0
53,West Virginia,NaN,55,51,49,42,29,26
54,Northern Mariana Islands,NaN,0,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
