,State,774,780,787,794,801,808,815
0,Washington,NaN,26,14,7,3,1,1
1,Illinois,NaN,18,9,4,2,1,0
2,California,NaN,105,57,33,17,8,4
3,Arizona,NaN,7,2,0,0,0,0
4,Massachusetts,NaN,2,1,0,0,0,0
5,Wisconsin,NaN,16,9,4,2,1,0
6,Texas,NaN,8,2,0,0,0,0
7,Nebraska,NaN,15,9,5,2,1,0
8,Utah,NaN,3,1,0,0,0,0
9,Oregon,NaN,19,11,5,3,1,0
10,Florida,NaN,14,5,2,0,0,0
11,New York,NaN,1,0,0,0,0,0
12,Rhode Island,NaN,1,0,0,0,0,0
13,Georgia,NaN,4,1,0,0,0,0
14,New Hampshire,NaN,5,2,1,0,0,0
15,North Carolina,NaN,35,16,7,3,1,0
16,New Jersey,NaN,5,2,1,0,0,0
17,Colorado,NaN,8,3,1,0,0,0
18,Maryland,NaN,4,1,0,0,0,0
19,Nevada,NaN,5,2,0,0,0,0
20,Tennessee,NaN,59,35,21,11,6,3
21,Hawaii,NaN,2,1,0,0,0,0
22,Indiana,NaN,22,11,6,3,1,1
23,Kentucky,NaN,28,15,8,4,2,1
24,Minnesota,NaN,28,14,7,4,2,1
25,Oklahoma,NaN,22,10,5,2,0,0
26,Pennsylvania,NaN,16,7,2,1,0,0
27,South Carolina,NaN,11,4,2,1,0,0
28,District of Columbia,NaN,0,0,0,0,0,0
29,Kansas,NaN,6,2,1,0,0,0
30,Missouri,NaN,12,5,1,0,0,0
31,Vermont,NaN,7,4,2,1,0,0
32,Virginia,NaN,13,5,2,1,0,0
33,Connecticut,NaN,2,1,0,0,0,0
34,Iowa,NaN,20,11,5,3,1,0
35,Louisiana,NaN,3,1,0,0,0,0
36,Ohio,NaN,24,14,7,4,2,1
37,Michigan,NaN,29,14,6,3,1,1
38,South Dakota,NaN,1,0,0,0,0,0
39,Arkansas,NaN,15,8,4,2,0,0
40,Delaware,NaN,1,0,0,0,0,0
41,Mississippi,NaN,11,5,2,1,0,0
42,New Mexico,NaN,7,3,1,0,0,0
43,North Dakota,NaN,2,1,0,0,0,0
44,Wyoming,NaN,2,1,0,0,0,0
45,Alaska,NaN,3,1,0,0,0,0
46,Maine,NaN,21,17,14,9,6,4
47,Alabama,NaN,12,5,2,1,0,0
48,Idaho,NaN,24,13,7,3,2,0
49,Montana,NaN,10,4,2,0,0,0
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,16,9,5,3,1,1
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
