,State,515,521,528,535,542,549
0,Washington,5820,15,10,7,5,3
1,Illinois,25566,15,9,5,2,1
2,California,63335,17,12,9,6,4
3,Arizona,17843,29,24,20,17,13
4,Massachusetts,17968,3,1,1,0,0
5,Wisconsin,8047,11,8,6,4,3
6,Texas,52110,49,35,27,20,13
7,Nebraska,2259,2,1,1,0,0
8,Utah,2330,11,8,6,5,3
9,Oregon,2754,11,7,4,2,1
10,Florida,37555,39,27,19,12,8
11,New York,53606,15,9,6,4,3
12,Rhode Island,2724,1,0,0,0,0
13,Georgia,21318,11,9,7,6,5
14,New Hampshire,1367,1,0,0,0,0
15,North Carolina,13340,35,26,20,15,11
16,New Jersey,26374,5,3,2,1,1
17,Colorado,6731,8,4,2,1,1
18,Maryland,9707,5,3,2,1,1
19,Nevada,5649,7,4,3,2,1
20,Tennessee,12516,17,14,12,10,8
21,Hawaii,513,4,2,2,1,0
22,Indiana,13795,24,19,15,12,9
23,Kentucky,7180,7,6,4,3,2
24,Minnesota,7638,7,4,2,2,1
25,Oklahoma,7354,9,7,6,4,3
26,Pennsylvania,27566,18,10,5,3,1
27,South Carolina,9792,14,11,9,7,5
28,District of Columbia,1141,0,0,0,0,0
29,Kansas,5129,11,8,6,5,3
30,Missouri,9648,10,9,8,7,7
31,Vermont,256,0,0,0,0,0
32,Virginia,11351,9,6,5,3,2
33,Connecticut,8270,2,1,0,0,0
34,Iowa,6114,3,2,1,1,0
35,Louisiana,10688,12,11,11,11,11
36,Ohio,20166,21,15,11,9,7
37,Michigan,20862,20,12,8,6,4
38,South Dakota,2027,0,0,0,0,0
39,Arkansas,5874,19,15,13,10,8
40,Delaware,1683,0,0,0,0,0
41,Mississippi,7371,12,10,8,7,6
42,New Mexico,4316,2,1,1,0,0
43,North Dakota,1554,2,1,1,0,0
44,Wyoming,734,4,4,3,3,2
45,Alaska,373,1,0,0,0,0
46,Maine,854,2,1,0,0,0
47,Alabama,11306,27,19,16,15,13
48,Idaho,2122,5,4,3,2,2
49,Montana,1651,4,3,2,2,1
50,Puerto Rico,2540,8,6,6,5,5
51,Virgin Islands,30,1,0,0,0,0
52,Guam,139,0,0,0,0,0
53,West Virginia,2863,7,5,3,3,2
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
