,State,809,815,822,829,836,843,850,857,864,871,878,885,892
0,Washington,NaN,19,23,29,34,40,46,49,44,36,33,36,47
1,Illinois,NaN,93,124,122,120,118,123,97,60,55,46,40,39
2,California,NaN,95,123,158,185,221,261,303,325,371,463,495,578
3,Arizona,NaN,12,15,25,33,52,71,90,98,109,125,133,150
4,Massachusetts,NaN,43,66,75,82,80,82,69,48,37,31,25,25
5,Wisconsin,NaN,18,25,32,35,41,45,46,41,33,29,31,28
6,Texas,NaN,16,18,30,52,99,177,262,383,420,454,511,626
7,Nebraska,NaN,10,13,13,15,17,18,15,12,11,11,10,7
8,Utah,NaN,2,2,4,7,9,13,16,16,15,16,17,18
9,Oregon,NaN,5,6,9,12,17,22,21,18,15,14,17,17
10,Florida,NaN,19,25,42,68,130,230,253,211,173,130,164,327
11,New York,NaN,496,742,698,524,415,370,257,144,100,76,73,67
12,Rhode Island,NaN,5,6,8,8,9,9,8,6,5,4,4,3
13,Georgia,NaN,10,15,21,30,45,61,82,87,87,87,105,120
14,New Hampshire,NaN,4,6,6,7,7,8,6,5,4,3,3,3
15,North Carolina,NaN,28,37,46,58,72,79,82,63,58,56,53,64
16,New Jersey,NaN,115,164,144,120,95,82,62,47,39,37,30,28
17,Colorado,NaN,27,37,51,52,56,66,51,34,26,20,20,22
18,Maryland,NaN,27,41,53,62,60,63,58,42,35,36,39,35
19,Nevada,NaN,10,13,16,21,24,27,28,25,25,28,32,35
20,Tennessee,NaN,23,31,36,44,49,58,52,44,39,36,39,46
21,Hawaii,NaN,1,2,2,4,4,6,8,8,7,8,9,9
22,Indiana,NaN,35,47,58,58,62,64,56,40,34,33,32,33
23,Kentucky,NaN,11,17,23,28,36,43,45,41,37,36,36,27
24,Minnesota,NaN,22,31,35,34,38,47,41,34,29,28,26,24
25,Oklahoma,NaN,2,2,3,4,6,10,12,12,14,14,17,26
26,Pennsylvania,NaN,71,115,139,171,165,171,140,97,74,63,59,59
27,South Carolina,NaN,10,16,27,34,46,60,60,58,63,63,63,67
28,District of Columbia,NaN,4,7,8,8,8,8,7,5,4,4,4,4
29,Kansas,NaN,1,1,2,3,4,7,9,9,10,10,10,12
30,Missouri,NaN,2,3,6,10,14,21,23,21,20,19,26,50
31,Vermont,NaN,2,3,4,5,5,5,4,2,2,1,2,1
32,Virginia,NaN,20,31,42,52,61,66,63,49,42,41,41,36
33,Connecticut,NaN,39,61,60,52,47,44,31,20,14,12,11,11
34,Iowa,NaN,9,12,16,23,29,32,36,27,25,24,25,26
35,Louisiana,NaN,11,17,23,37,47,54,54,43,39,34,38,48
36,Ohio,NaN,57,80,114,153,160,174,160,142,116,100,96,92
37,Michigan,NaN,93,147,156,132,115,98,73,41,29,20,18,20
38,South Dakota,NaN,0,1,2,3,5,7,8,7,4,4,4,4
39,Arkansas,NaN,3,4,5,8,10,14,15,13,13,13,15,21
40,Delaware,NaN,4,6,7,8,8,9,7,5,5,4,4,4
41,Mississippi,NaN,7,10,15,21,25,30,26,20,18,17,18,22
42,New Mexico,NaN,3,4,5,8,12,15,16,15,15,19,22,18
43,North Dakota,NaN,1,2,2,3,4,5,5,4,3,3,4,4
44,Wyoming,NaN,1,1,2,2,4,5,5,5,4,3,3,4
45,Alaska,NaN,0,0,0,0,0,1,1,1,0,0,1,1
46,Maine,NaN,6,7,8,10,10,11,9,6,4,4,3,3
47,Alabama,NaN,9,13,19,30,44,55,58,59,60,66,64,56
48,Idaho,NaN,9,10,13,11,11,12,10,7,6,6,7,8
49,Montana,NaN,1,1,1,3,4,7,7,5,4,3,4,5
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,7,12,15,19,23,25,24,14,12,10,11,10
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
