forceast_date,location,quantile,target,target_end_date,type,value
2020-12-19,53,,1 wk ahead inc death,2020-12-26,point,125.0
2020-12-19,53,,1 wk ahead cum death,2020-12-26,point,3229.0
2020-12-19,53,,2 wk ahead inc death,2021-01-02,point,127.0
2020-12-19,53,,2 wk ahead cum death,2021-01-02,point,3356.0
2020-12-19,53,,3 wk ahead inc death,2021-01-09,point,138.0
2020-12-19,53,,3 wk ahead cum death,2021-01-09,point,3494.0
2020-12-19,53,,4 wk ahead inc death,2021-01-16,point,137.0
2020-12-19,53,,4 wk ahead cum death,2021-01-16,point,3631.0
2020-12-19,17,,1 wk ahead inc death,2020-12-26,point,1096.0
2020-12-19,17,,1 wk ahead cum death,2020-12-26,point,17422.0
2020-12-19,17,,2 wk ahead inc death,2021-01-02,point,1045.0
2020-12-19,17,,2 wk ahead cum death,2021-01-02,point,18467.0
2020-12-19,17,,3 wk ahead inc death,2021-01-09,point,1042.0
2020-12-19,17,,3 wk ahead cum death,2021-01-09,point,19509.0
2020-12-19,17,,4 wk ahead inc death,2021-01-16,point,925.0
2020-12-19,17,,4 wk ahead cum death,2021-01-16,point,20434.0
2020-12-19,06,,1 wk ahead inc death,2020-12-26,point,1558.0
2020-12-19,06,,1 wk ahead cum death,2020-12-26,point,24157.0
2020-12-19,06,,2 wk ahead inc death,2021-01-02,point,2068.0
2020-12-19,06,,2 wk ahead cum death,2021-01-02,point,26225.0
2020-12-19,06,,3 wk ahead inc death,2021-01-09,point,2342.0
2020-12-19,06,,3 wk ahead cum death,2021-01-09,point,28567.0
2020-12-19,06,,4 wk ahead inc death,2021-01-16,point,2742.0
2020-12-19,06,,4 wk ahead cum death,2021-01-16,point,31309.0
2020-12-19,04,,1 wk ahead inc death,2020-12-26,point,460.0
2020-12-19,04,,1 wk ahead cum death,2020-12-26,point,8397.0
2020-12-19,04,,2 wk ahead inc death,2021-01-02,point,536.0
2020-12-19,04,,2 wk ahead cum death,2021-01-02,point,8933.0
2020-12-19,04,,3 wk ahead inc death,2021-01-09,point,576.0
2020-12-19,04,,3 wk ahead cum death,2021-01-09,point,9509.0
2020-12-19,04,,4 wk ahead inc death,2021-01-16,point,629.0
2020-12-19,04,,4 wk ahead cum death,2021-01-16,point,10138.0
2020-12-19,25,,1 wk ahead inc death,2020-12-26,point,437.0
2020-12-19,25,,1 wk ahead cum death,2020-12-26,point,12094.0
2020-12-19,25,,2 wk ahead inc death,2021-01-02,point,514.0
2020-12-19,25,,2 wk ahead cum death,2021-01-02,point,12608.0
2020-12-19,25,,3 wk ahead inc death,2021-01-09,point,545.0
2020-12-19,25,,3 wk ahead cum death,2021-01-09,point,13153.0
2020-12-19,25,,4 wk ahead inc death,2021-01-16,point,632.0
2020-12-19,25,,4 wk ahead cum death,2021-01-16,point,13785.0
2020-12-19,55,,1 wk ahead inc death,2020-12-26,point,361.0
2020-12-19,55,,1 wk ahead cum death,2020-12-26,point,5083.0
2020-12-19,55,,2 wk ahead inc death,2021-01-02,point,303.0
2020-12-19,55,,2 wk ahead cum death,2021-01-02,point,5386.0
2020-12-19,55,,3 wk ahead inc death,2021-01-09,point,276.0
2020-12-19,55,,3 wk ahead cum death,2021-01-09,point,5662.0
2020-12-19,55,,4 wk ahead inc death,2021-01-16,point,242.0
2020-12-19,55,,4 wk ahead cum death,2021-01-16,point,5904.0
2020-12-19,48,,1 wk ahead inc death,2020-12-26,point,1455.0
2020-12-19,48,,1 wk ahead cum death,2020-12-26,point,27375.0
2020-12-19,48,,2 wk ahead inc death,2021-01-02,point,1452.0
2020-12-19,48,,2 wk ahead cum death,2021-01-02,point,28827.0
2020-12-19,48,,3 wk ahead inc death,2021-01-09,point,1441.0
2020-12-19,48,,3 wk ahead cum death,2021-01-09,point,30268.0
2020-12-19,48,,4 wk ahead inc death,2021-01-16,point,1507.0
2020-12-19,48,,4 wk ahead cum death,2021-01-16,point,31775.0
2020-12-19,31,,1 wk ahead inc death,2020-12-26,point,160.0
2020-12-19,31,,1 wk ahead cum death,2020-12-26,point,1635.0
2020-12-19,31,,2 wk ahead inc death,2021-01-02,point,150.0
2020-12-19,31,,2 wk ahead cum death,2021-01-02,point,1785.0
2020-12-19,31,,3 wk ahead inc death,2021-01-09,point,151.0
2020-12-19,31,,3 wk ahead cum death,2021-01-09,point,1936.0
2020-12-19,31,,4 wk ahead inc death,2021-01-16,point,137.0
2020-12-19,31,,4 wk ahead cum death,2021-01-16,point,2073.0
2020-12-19,49,,1 wk ahead inc death,2020-12-26,point,93.0
2020-12-19,49,,1 wk ahead cum death,2020-12-26,point,1241.0
2020-12-19,49,,2 wk ahead inc death,2021-01-02,point,90.0
2020-12-19,49,,2 wk ahead cum death,2021-01-02,point,1331.0
2020-12-19,49,,3 wk ahead inc death,2021-01-09,point,87.0
2020-12-19,49,,3 wk ahead cum death,2021-01-09,point,1418.0
2020-12-19,49,,4 wk ahead inc death,2021-01-16,point,90.0
2020-12-19,49,,4 wk ahead cum death,2021-01-16,point,1508.0
2020-12-19,41,,1 wk ahead inc death,2020-12-26,point,151.0
2020-12-19,41,,1 wk ahead cum death,2020-12-26,point,1491.0
2020-12-19,41,,2 wk ahead inc death,2021-01-02,point,147.0
2020-12-19,41,,2 wk ahead cum death,2021-01-02,point,1638.0
2020-12-19,41,,3 wk ahead inc death,2021-01-09,point,145.0
2020-12-19,41,,3 wk ahead cum death,2021-01-09,point,1783.0
2020-12-19,41,,4 wk ahead inc death,2021-01-16,point,154.0
2020-12-19,41,,4 wk ahead cum death,2021-01-16,point,1937.0
2020-12-19,12,,1 wk ahead inc death,2020-12-26,point,770.0
2020-12-19,12,,1 wk ahead cum death,2020-12-26,point,21243.0
2020-12-19,12,,2 wk ahead inc death,2021-01-02,point,790.0
2020-12-19,12,,2 wk ahead cum death,2021-01-02,point,22033.0
2020-12-19,12,,3 wk ahead inc death,2021-01-09,point,814.0
2020-12-19,12,,3 wk ahead cum death,2021-01-09,point,22847.0
2020-12-19,12,,4 wk ahead inc death,2021-01-16,point,829.0
2020-12-19,12,,4 wk ahead cum death,2021-01-16,point,23676.0
2020-12-19,36,,1 wk ahead inc death,2020-12-26,point,619.0
2020-12-19,36,,1 wk ahead cum death,2020-12-26,point,36937.0
2020-12-19,36,,2 wk ahead inc death,2021-01-02,point,696.0
2020-12-19,36,,2 wk ahead cum death,2021-01-02,point,37633.0
2020-12-19,36,,3 wk ahead inc death,2021-01-09,point,818.0
2020-12-19,36,,3 wk ahead cum death,2021-01-09,point,38451.0
2020-12-19,36,,4 wk ahead inc death,2021-01-16,point,807.0
2020-12-19,36,,4 wk ahead cum death,2021-01-16,point,39258.0
2020-12-19,44,,1 wk ahead inc death,2020-12-26,point,91.0
2020-12-19,44,,1 wk ahead cum death,2020-12-26,point,1845.0
2020-12-19,44,,2 wk ahead inc death,2021-01-02,point,92.0
2020-12-19,44,,2 wk ahead cum death,2021-01-02,point,1937.0
2020-12-19,44,,3 wk ahead inc death,2021-01-09,point,105.0
2020-12-19,44,,3 wk ahead cum death,2021-01-09,point,2042.0
2020-12-19,44,,4 wk ahead inc death,2021-01-16,point,93.0
