forceast_date,location,quantile,target,target_end_date,type,value
2020-11-21,53,,1 wk ahead inc death,2020-11-28,point,100.0
2020-11-21,53,,1 wk ahead cum death,2020-11-28,point,2695.0
2020-11-21,53,,2 wk ahead inc death,2020-12-05,point,152.0
2020-11-21,53,,2 wk ahead cum death,2020-12-05,point,2847.0
2020-11-21,53,,3 wk ahead inc death,2020-12-12,point,148.0
2020-11-21,53,,3 wk ahead cum death,2020-12-12,point,2995.0
2020-11-21,53,,4 wk ahead inc death,2020-12-19,point,154.0
2020-11-21,53,,4 wk ahead cum death,2020-12-19,point,3149.0
2020-11-21,17,,1 wk ahead inc death,2020-11-28,point,954.0
2020-11-21,17,,1 wk ahead cum death,2020-11-28,point,12906.0
2020-11-21,17,,2 wk ahead inc death,2020-12-05,point,1276.0
2020-11-21,17,,2 wk ahead cum death,2020-12-05,point,14182.0
2020-11-21,17,,3 wk ahead inc death,2020-12-12,point,1220.0
2020-11-21,17,,3 wk ahead cum death,2020-12-12,point,15402.0
2020-11-21,17,,4 wk ahead inc death,2020-12-19,point,1224.0
2020-11-21,17,,4 wk ahead cum death,2020-12-19,point,16626.0
2020-11-21,06,,1 wk ahead inc death,2020-11-28,point,365.0
2020-11-21,06,,1 wk ahead cum death,2020-11-28,point,19075.0
2020-11-21,06,,2 wk ahead inc death,2020-12-05,point,478.0
2020-11-21,06,,2 wk ahead cum death,2020-12-05,point,19553.0
2020-11-21,06,,3 wk ahead inc death,2020-12-12,point,452.0
2020-11-21,06,,3 wk ahead cum death,2020-12-12,point,20005.0
2020-11-21,06,,4 wk ahead inc death,2020-12-19,point,477.0
2020-11-21,06,,4 wk ahead cum death,2020-12-19,point,20482.0
2020-11-21,04,,1 wk ahead inc death,2020-11-28,point,228.0
2020-11-21,04,,1 wk ahead cum death,2020-11-28,point,6685.0
2020-11-21,04,,2 wk ahead inc death,2020-12-05,point,295.0
2020-11-21,04,,2 wk ahead cum death,2020-12-05,point,6980.0
2020-11-21,04,,3 wk ahead inc death,2020-12-12,point,287.0
2020-11-21,04,,3 wk ahead cum death,2020-12-12,point,7267.0
2020-11-21,04,,4 wk ahead inc death,2020-12-19,point,285.0
2020-11-21,04,,4 wk ahead cum death,2020-12-19,point,7552.0
2020-11-21,25,,1 wk ahead inc death,2020-11-28,point,223.0
2020-11-21,25,,1 wk ahead cum death,2020-11-28,point,10711.0
2020-11-21,25,,2 wk ahead inc death,2020-12-05,point,306.0
2020-11-21,25,,2 wk ahead cum death,2020-12-05,point,11017.0
2020-11-21,25,,3 wk ahead inc death,2020-12-12,point,290.0
2020-11-21,25,,3 wk ahead cum death,2020-12-12,point,11307.0
2020-11-21,25,,4 wk ahead inc death,2020-12-19,point,298.0
2020-11-21,25,,4 wk ahead cum death,2020-12-19,point,11605.0
2020-11-21,55,,1 wk ahead inc death,2020-11-28,point,232.0
2020-11-21,55,,1 wk ahead cum death,2020-11-28,point,3375.0
2020-11-21,55,,2 wk ahead inc death,2020-12-05,point,266.0
2020-11-21,55,,2 wk ahead cum death,2020-12-05,point,3641.0
2020-11-21,55,,3 wk ahead inc death,2020-12-12,point,256.0
2020-11-21,55,,3 wk ahead cum death,2020-12-12,point,3897.0
2020-11-21,55,,4 wk ahead inc death,2020-12-19,point,252.0
2020-11-21,55,,4 wk ahead cum death,2020-12-19,point,4149.0
2020-11-21,48,,1 wk ahead inc death,2020-11-28,point,958.0
2020-11-21,48,,1 wk ahead cum death,2020-11-28,point,22207.0
2020-11-21,48,,2 wk ahead inc death,2020-12-05,point,1177.0
2020-11-21,48,,2 wk ahead cum death,2020-12-05,point,23384.0
2020-11-21,48,,3 wk ahead inc death,2020-12-12,point,1192.0
2020-11-21,48,,3 wk ahead cum death,2020-12-12,point,24576.0
2020-11-21,48,,4 wk ahead inc death,2020-12-19,point,1123.0
2020-11-21,48,,4 wk ahead cum death,2020-12-19,point,25699.0
