forceast_date,location,quantile,target,target_end_date,type,value
2020-10-24,53,,1 wk ahead inc death,2020-10-31,point,48.0
2020-10-24,53,,1 wk ahead cum death,2020-10-31,point,2325.0
2020-10-24,53,,2 wk ahead inc death,2020-11-07,point,56.0
2020-10-24,53,,2 wk ahead cum death,2020-11-07,point,2381.0
2020-10-24,53,,3 wk ahead inc death,2020-11-14,point,53.0
2020-10-24,53,,3 wk ahead cum death,2020-11-14,point,2434.0
2020-10-24,53,,4 wk ahead inc death,2020-11-21,point,49.0
2020-10-24,53,,4 wk ahead cum death,2020-11-21,point,2483.0
2020-10-24,17,,1 wk ahead inc death,2020-10-31,point,328.0
2020-10-24,17,,1 wk ahead cum death,2020-10-31,point,10079.0
2020-10-24,17,,2 wk ahead inc death,2020-11-07,point,428.0
2020-10-24,17,,2 wk ahead cum death,2020-11-07,point,10507.0
2020-10-24,17,,3 wk ahead inc death,2020-11-14,point,384.0
2020-10-24,17,,3 wk ahead cum death,2020-11-14,point,10891.0
2020-10-24,17,,4 wk ahead inc death,2020-11-21,point,371.0
2020-10-24,17,,4 wk ahead cum death,2020-11-21,point,11262.0
2020-10-24,06,,1 wk ahead inc death,2020-10-31,point,423.0
2020-10-24,06,,1 wk ahead cum death,2020-10-31,point,17766.0
2020-10-24,06,,2 wk ahead inc death,2020-11-07,point,455.0
2020-10-24,06,,2 wk ahead cum death,2020-11-07,point,18221.0
2020-10-24,06,,3 wk ahead inc death,2020-11-14,point,417.0
2020-10-24,06,,3 wk ahead cum death,2020-11-14,point,18638.0
2020-10-24,06,,4 wk ahead inc death,2020-11-21,point,394.0
2020-10-24,06,,4 wk ahead cum death,2020-11-21,point,19032.0
2020-10-24,04,,1 wk ahead inc death,2020-10-31,point,82.0
2020-10-24,04,,1 wk ahead cum death,2020-10-31,point,5951.0
2020-10-24,04,,2 wk ahead inc death,2020-11-07,point,102.0
2020-10-24,04,,2 wk ahead cum death,2020-11-07,point,6053.0
2020-10-24,04,,3 wk ahead inc death,2020-11-14,point,92.0
2020-10-24,04,,3 wk ahead cum death,2020-11-14,point,6145.0
2020-10-24,04,,4 wk ahead inc death,2020-11-21,point,90.0
2020-10-24,04,,4 wk ahead cum death,2020-11-21,point,6235.0
2020-10-24,25,,1 wk ahead inc death,2020-10-31,point,149.0
2020-10-24,25,,1 wk ahead cum death,2020-10-31,point,9988.0
2020-10-24,25,,2 wk ahead inc death,2020-11-07,point,163.0
2020-10-24,25,,2 wk ahead cum death,2020-11-07,point,10151.0
2020-10-24,25,,3 wk ahead inc death,2020-11-14,point,148.0
2020-10-24,25,,3 wk ahead cum death,2020-11-14,point,10299.0
2020-10-24,25,,4 wk ahead inc death,2020-11-21,point,139.0
2020-10-24,25,,4 wk ahead cum death,2020-11-21,point,10438.0
2020-10-24,55,,1 wk ahead inc death,2020-10-31,point,128.0
2020-10-24,55,,1 wk ahead cum death,2020-10-31,point,2167.0
2020-10-24,55,,2 wk ahead inc death,2020-11-07,point,136.0
2020-10-24,55,,2 wk ahead cum death,2020-11-07,point,2303.0
2020-10-24,55,,3 wk ahead inc death,2020-11-14,point,127.0
2020-10-24,55,,3 wk ahead cum death,2020-11-14,point,2430.0
2020-10-24,55,,4 wk ahead inc death,2020-11-21,point,116.0
2020-10-24,55,,4 wk ahead cum death,2020-11-21,point,2546.0
2020-10-24,48,,1 wk ahead inc death,2020-10-31,point,599.0
2020-10-24,48,,1 wk ahead cum death,2020-10-31,point,18813.0
2020-10-24,48,,2 wk ahead inc death,2020-11-07,point,646.0
2020-10-24,48,,2 wk ahead cum death,2020-11-07,point,19459.0
2020-10-24,48,,3 wk ahead inc death,2020-11-14,point,586.0
2020-10-24,48,,3 wk ahead cum death,2020-11-14,point,20045.0
2020-10-24,48,,4 wk ahead inc death,2020-11-21,point,548.0
2020-10-24,48,,4 wk ahead cum death,2020-11-21,point,20593.0
2020-10-24,31,,1 wk ahead inc death,2020-10-31,point,30.0
2020-10-24,31,,1 wk ahead cum death,2020-10-31,point,625.0
2020-10-24,31,,2 wk ahead inc death,2020-11-07,point,43.0
2020-10-24,31,,2 wk ahead cum death,2020-11-07,point,668.0
2020-10-24,31,,3 wk ahead inc death,2020-11-14,point,38.0
2020-10-24,31,,3 wk ahead cum death,2020-11-14,point,706.0
2020-10-24,31,,4 wk ahead inc death,2020-11-21,point,39.0
2020-10-24,31,,4 wk ahead cum death,2020-11-21,point,745.0
2020-10-24,49,,1 wk ahead inc death,2020-10-31,point,37.0
2020-10-24,49,,1 wk ahead cum death,2020-10-31,point,605.0
2020-10-24,49,,2 wk ahead inc death,2020-11-07,point,39.0
2020-10-24,49,,2 wk ahead cum death,2020-11-07,point,644.0
2020-10-24,49,,3 wk ahead inc death,2020-11-14,point,35.0
2020-10-24,49,,3 wk ahead cum death,2020-11-14,point,679.0
2020-10-24,49,,4 wk ahead inc death,2020-11-21,point,37.0
2020-10-24,49,,4 wk ahead cum death,2020-11-21,point,716.0
2020-10-24,41,,1 wk ahead inc death,2020-10-31,point,23.0
2020-10-24,41,,1 wk ahead cum death,2020-10-31,point,676.0
2020-10-24,41,,2 wk ahead inc death,2020-11-07,point,28.0
2020-10-24,41,,2 wk ahead cum death,2020-11-07,point,704.0
