forceast_date,location,quantile,target,target_end_date,type,value
2020-10-10,53,,1 wk ahead inc death,2020-10-17,point,46.0
2020-10-10,53,,1 wk ahead cum death,2020-10-17,point,2214.0
2020-10-10,53,,2 wk ahead inc death,2020-10-24,point,52.0
2020-10-10,53,,2 wk ahead cum death,2020-10-24,point,2266.0
2020-10-10,53,,3 wk ahead inc death,2020-10-31,point,46.0
2020-10-10,53,,3 wk ahead cum death,2020-10-31,point,2312.0
2020-10-10,53,,4 wk ahead inc death,2020-11-07,point,47.0
2020-10-10,53,,4 wk ahead cum death,2020-11-07,point,2359.0
2020-10-10,17,,1 wk ahead inc death,2020-10-17,point,208.0
2020-10-10,17,,1 wk ahead cum death,2020-10-17,point,9429.0
2020-10-10,17,,2 wk ahead inc death,2020-10-24,point,229.0
2020-10-10,17,,2 wk ahead cum death,2020-10-24,point,9658.0
2020-10-10,17,,3 wk ahead inc death,2020-10-31,point,213.0
2020-10-10,17,,3 wk ahead cum death,2020-10-31,point,9871.0
2020-10-10,17,,4 wk ahead inc death,2020-11-07,point,195.0
2020-10-10,17,,4 wk ahead cum death,2020-11-07,point,10066.0
2020-10-10,06,,1 wk ahead inc death,2020-10-17,point,579.0
2020-10-10,06,,1 wk ahead cum death,2020-10-17,point,17146.0
2020-10-10,06,,2 wk ahead inc death,2020-10-24,point,567.0
2020-10-10,06,,2 wk ahead cum death,2020-10-24,point,17713.0
2020-10-10,06,,3 wk ahead inc death,2020-10-31,point,522.0
2020-10-10,06,,3 wk ahead cum death,2020-10-31,point,18235.0
2020-10-10,06,,4 wk ahead inc death,2020-11-07,point,471.0
2020-10-10,06,,4 wk ahead cum death,2020-11-07,point,18706.0
2020-10-10,04,,1 wk ahead inc death,2020-10-17,point,93.0
2020-10-10,04,,1 wk ahead cum death,2020-10-17,point,5852.0
2020-10-10,04,,2 wk ahead inc death,2020-10-24,point,78.0
2020-10-10,04,,2 wk ahead cum death,2020-10-24,point,5930.0
2020-10-10,04,,3 wk ahead inc death,2020-10-31,point,65.0
2020-10-10,04,,3 wk ahead cum death,2020-10-31,point,5995.0
2020-10-10,04,,4 wk ahead inc death,2020-11-07,point,65.0
2020-10-10,04,,4 wk ahead cum death,2020-11-07,point,6060.0
2020-10-10,25,,1 wk ahead inc death,2020-10-17,point,152.0
2020-10-10,25,,1 wk ahead cum death,2020-10-17,point,9739.0
2020-10-10,25,,2 wk ahead inc death,2020-10-24,point,192.0
2020-10-10,25,,2 wk ahead cum death,2020-10-24,point,9931.0
2020-10-10,25,,3 wk ahead inc death,2020-10-31,point,177.0
2020-10-10,25,,3 wk ahead cum death,2020-10-31,point,10108.0
2020-10-10,25,,4 wk ahead inc death,2020-11-07,point,165.0
2020-10-10,25,,4 wk ahead cum death,2020-11-07,point,10273.0
2020-10-10,55,,1 wk ahead inc death,2020-10-17,point,115.0
2020-10-10,55,,1 wk ahead cum death,2020-10-17,point,1683.0
2020-10-10,55,,2 wk ahead inc death,2020-10-24,point,135.0
2020-10-10,55,,2 wk ahead cum death,2020-10-24,point,1818.0
2020-10-10,55,,3 wk ahead inc death,2020-10-31,point,125.0
2020-10-10,55,,3 wk ahead cum death,2020-10-31,point,1943.0
2020-10-10,55,,4 wk ahead inc death,2020-11-07,point,115.0
2020-10-10,55,,4 wk ahead cum death,2020-11-07,point,2058.0
2020-10-10,48,,1 wk ahead inc death,2020-10-17,point,671.0
2020-10-10,48,,1 wk ahead cum death,2020-10-17,point,17879.0
2020-10-10,48,,2 wk ahead inc death,2020-10-24,point,663.0
2020-10-10,48,,2 wk ahead cum death,2020-10-24,point,18542.0
2020-10-10,48,,3 wk ahead inc death,2020-10-31,point,587.0
2020-10-10,48,,3 wk ahead cum death,2020-10-31,point,19129.0
2020-10-10,48,,4 wk ahead inc death,2020-11-07,point,542.0
2020-10-10,48,,4 wk ahead cum death,2020-11-07,point,19671.0
2020-10-10,31,,1 wk ahead inc death,2020-10-17,point,28.0
2020-10-10,31,,1 wk ahead cum death,2020-10-17,point,547.0
2020-10-10,31,,2 wk ahead inc death,2020-10-24,point,40.0
2020-10-10,31,,2 wk ahead cum death,2020-10-24,point,587.0
2020-10-10,31,,3 wk ahead inc death,2020-10-31,point,37.0
2020-10-10,31,,3 wk ahead cum death,2020-10-31,point,624.0
2020-10-10,31,,4 wk ahead inc death,2020-11-07,point,35.0
2020-10-10,31,,4 wk ahead cum death,2020-11-07,point,659.0
2020-10-10,49,,1 wk ahead inc death,2020-10-17,point,28.0
2020-10-10,49,,1 wk ahead cum death,2020-10-17,point,538.0
2020-10-10,49,,2 wk ahead inc death,2020-10-24,point,36.0
2020-10-10,49,,2 wk ahead cum death,2020-10-24,point,574.0
2020-10-10,49,,3 wk ahead inc death,2020-10-31,point,38.0
2020-10-10,49,,3 wk ahead cum death,2020-10-31,point,612.0
2020-10-10,49,,4 wk ahead inc death,2020-11-07,point,32.0
2020-10-10,49,,4 wk ahead cum death,2020-11-07,point,644.0
2020-10-10,41,,1 wk ahead inc death,2020-10-17,point,26.0
2020-10-10,41,,1 wk ahead cum death,2020-10-17,point,625.0
2020-10-10,41,,2 wk ahead inc death,2020-10-24,point,29.0
2020-10-10,41,,2 wk ahead cum death,2020-10-24,point,654.0
2020-10-10,41,,3 wk ahead inc death,2020-10-31,point,25.0
2020-10-10,41,,3 wk ahead cum death,2020-10-31,point,679.0
2020-10-10,41,,4 wk ahead inc death,2020-11-07,point,26.0
2020-10-10,41,,4 wk ahead cum death,2020-11-07,point,705.0
