forceast_date,location,quantile,target,target_end_date,type,value
2021-01-30,53,,1 wk ahead inc death,2021-02-06,point,144.0
2021-01-30,53,,1 wk ahead cum death,2021-02-06,point,4429.0
2021-01-30,53,,2 wk ahead inc death,2021-02-13,point,135.0
2021-01-30,53,,2 wk ahead cum death,2021-02-13,point,4564.0
2021-01-30,53,,3 wk ahead inc death,2021-02-20,point,142.0
2021-01-30,53,,3 wk ahead cum death,2021-02-20,point,4706.0
2021-01-30,53,,4 wk ahead inc death,2021-02-27,point,108.0
2021-01-30,53,,4 wk ahead cum death,2021-02-27,point,4814.0
2021-01-30,17,,1 wk ahead inc death,2021-02-06,point,715.0
2021-01-30,17,,1 wk ahead cum death,2021-02-06,point,21928.0
2021-01-30,17,,2 wk ahead inc death,2021-02-13,point,656.0
2021-01-30,17,,2 wk ahead cum death,2021-02-13,point,22584.0
2021-01-30,17,,3 wk ahead inc death,2021-02-20,point,594.0
2021-01-30,17,,3 wk ahead cum death,2021-02-20,point,23178.0
2021-01-30,17,,4 wk ahead inc death,2021-02-27,point,507.0
2021-01-30,17,,4 wk ahead cum death,2021-02-27,point,23685.0
2021-01-30,06,,1 wk ahead inc death,2021-02-06,point,3541.0
2021-01-30,06,,1 wk ahead cum death,2021-02-06,point,44243.0
2021-01-30,06,,2 wk ahead inc death,2021-02-13,point,3178.0
2021-01-30,06,,2 wk ahead cum death,2021-02-13,point,47421.0
2021-01-30,06,,3 wk ahead inc death,2021-02-20,point,2843.0
2021-01-30,06,,3 wk ahead cum death,2021-02-20,point,50264.0
2021-01-30,06,,4 wk ahead inc death,2021-02-27,point,2006.0
2021-01-30,06,,4 wk ahead cum death,2021-02-27,point,52270.0
2021-01-30,04,,1 wk ahead inc death,2021-02-06,point,1163.0
2021-01-30,04,,1 wk ahead cum death,2021-02-06,point,14261.0
2021-01-30,04,,2 wk ahead inc death,2021-02-13,point,1104.0
2021-01-30,04,,2 wk ahead cum death,2021-02-13,point,15365.0
2021-01-30,04,,3 wk ahead inc death,2021-02-20,point,1035.0
2021-01-30,04,,3 wk ahead cum death,2021-02-20,point,16400.0
2021-01-30,04,,4 wk ahead inc death,2021-02-27,point,820.0
2021-01-30,04,,4 wk ahead cum death,2021-02-27,point,17220.0
2021-01-30,25,,1 wk ahead inc death,2021-02-06,point,530.0
2021-01-30,25,,1 wk ahead cum death,2021-02-06,point,15061.0
2021-01-30,25,,2 wk ahead inc death,2021-02-13,point,502.0
2021-01-30,25,,2 wk ahead cum death,2021-02-13,point,15563.0
2021-01-30,25,,3 wk ahead inc death,2021-02-20,point,483.0
2021-01-30,25,,3 wk ahead cum death,2021-02-20,point,16046.0
2021-01-30,25,,4 wk ahead inc death,2021-02-27,point,405.0
2021-01-30,25,,4 wk ahead cum death,2021-02-27,point,16451.0
2021-01-30,55,,1 wk ahead inc death,2021-02-06,point,301.0
2021-01-30,55,,1 wk ahead cum death,2021-02-06,point,6731.0
2021-01-30,55,,2 wk ahead inc death,2021-02-13,point,275.0
2021-01-30,55,,2 wk ahead cum death,2021-02-13,point,7006.0
2021-01-30,55,,3 wk ahead inc death,2021-02-20,point,263.0
2021-01-30,55,,3 wk ahead cum death,2021-02-20,point,7269.0
2021-01-30,55,,4 wk ahead inc death,2021-02-27,point,172.0
