forceast_date,location,quantile,target,target_end_date,type,value
2020-10-17,53,,1 wk ahead inc death,2020-10-24,point,50.0
2020-10-17,53,,1 wk ahead cum death,2020-10-24,point,2261.0
2020-10-17,53,,2 wk ahead inc death,2020-10-31,point,53.0
2020-10-17,53,,2 wk ahead cum death,2020-10-31,point,2314.0
2020-10-17,53,,3 wk ahead inc death,2020-11-07,point,46.0
2020-10-17,53,,3 wk ahead cum death,2020-11-07,point,2360.0
2020-10-17,53,,4 wk ahead inc death,2020-11-14,point,46.0
2020-10-17,53,,4 wk ahead cum death,2020-11-14,point,2406.0
2020-10-17,17,,1 wk ahead inc death,2020-10-24,point,248.0
2020-10-17,17,,1 wk ahead cum death,2020-10-24,point,9700.0
2020-10-17,17,,2 wk ahead inc death,2020-10-31,point,264.0
2020-10-17,17,,2 wk ahead cum death,2020-10-31,point,9964.0
2020-10-17,17,,3 wk ahead inc death,2020-11-07,point,218.0
2020-10-17,17,,3 wk ahead cum death,2020-11-07,point,10182.0
2020-10-17,17,,4 wk ahead inc death,2020-11-14,point,229.0
2020-10-17,17,,4 wk ahead cum death,2020-11-14,point,10411.0
2020-10-17,06,,1 wk ahead inc death,2020-10-24,point,480.0
2020-10-17,06,,1 wk ahead cum death,2020-10-24,point,17436.0
2020-10-17,06,,2 wk ahead inc death,2020-10-31,point,458.0
2020-10-17,06,,2 wk ahead cum death,2020-10-31,point,17894.0
2020-10-17,06,,3 wk ahead inc death,2020-11-07,point,420.0
2020-10-17,06,,3 wk ahead cum death,2020-11-07,point,18314.0
2020-10-17,06,,4 wk ahead inc death,2020-11-14,point,380.0
2020-10-17,06,,4 wk ahead cum death,2020-11-14,point,18694.0
2020-10-17,04,,1 wk ahead inc death,2020-10-24,point,68.0
2020-10-17,04,,1 wk ahead cum death,2020-10-24,point,5892.0
2020-10-17,04,,2 wk ahead inc death,2020-10-31,point,73.0
2020-10-17,04,,2 wk ahead cum death,2020-10-31,point,5965.0
2020-10-17,04,,3 wk ahead inc death,2020-11-07,point,66.0
2020-10-17,04,,3 wk ahead cum death,2020-11-07,point,6031.0
2020-10-17,04,,4 wk ahead inc death,2020-11-14,point,63.0
2020-10-17,04,,4 wk ahead cum death,2020-11-14,point,6094.0
2020-10-17,25,,1 wk ahead inc death,2020-10-24,point,108.0
