,State,161,171,178,185,192,199,206,213,220,227,234,241
0,Washington,1339,84,80,76,71,66,61,56,51,47,43,38
1,Illinois,6951,138,95,65,43,29,19,12,8,5,3,2
2,California,6169,881,942,984,1005,1002,975,927,862,785,701,615
3,Arizona,1725,404,443,442,403,342,272,208,153,110,77,53
4,Massachusetts,8081,73,48,31,20,13,8,5,3,2,1,0
5,Wisconsin,786,64,60,55,50,44,39,34,29,24,21,17
6,Texas,2770,526,642,745,816,845,828,768,679,577,475,380
7,Nebraska,276,10,7,5,4,2,2,1,1,0,0,0
8,Utah,173,27,28,29,28,27,24,22,19,16,13,11
9,Oregon,208,28,31,33,35,37,38,38,37,36,34,32
10,Florida,3550,989,1411,1811,2068,2134,2029,1814,1549,1278,1032,817
11,New York,32088,64,38,23,13,8,4,2,1,0,0,0
12,Rhode Island,956,18,13,9,7,5,3,2,1,1,0,0
13,Georgia,2827,286,287,284,275,262,246,227,207,186,166,146
14,New Hampshire,373,16,13,10,8,6,5,4,3,2,1,1
15,North Carolina,1398,185,191,191,185,174,159,143,125,107,90,75
16,New Jersey,15078,77,50,32,20,13,8,5,3,2,1,0
17,Colorado,1697,56,45,35,28,22,17,13,10,8,6,4
18,Maryland,3205,114,86,64,47,34,24,17,12,8,6,4
19,Nevada,511,97,118,132,138,135,123,107,89,72,56,43
20,Tennessee,609,71,71,69,66,62,57,52,46,40,35,30
21,Hawaii,18,0,0,0,0,0,0,0,0,0,0,0
22,Indiana,2650,120,100,82,67,54,43,34,27,21,17,13
23,Kentucky,572,44,42,40,37,34,31,28,25,22,19,17
24,Minnesota,1482,57,40,28,19,12,8,5,3,2,1,0
25,Oklahoma,389,55,62,67,72,74,75,74,71,66,60,54
26,Pennsylvania,6684,186,152,123,99,80,64,51,40,32,25,20
27,South Carolina,766,166,199,219,223,212,190,163,134,108,84,65
28,District of Columbia,553,11,8,5,3,2,1,1,0,0,0,0
29,Kansas,277,14,13,11,10,8,7,6,5,4,3,3
30,Missouri,1033,93,92,90,87,83,78,73,68,63,57,52
31,Vermont,56,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,1786,83,64,49,37,27,20,14,10,7,5,3
33,Connecticut,4324,34,22,14,9,6,3,2,1,1,0,0
34,Iowa,717,41,34,27,22,17,13,10,8,6,4,3
35,Louisiana,3238,101,85,71,58,48,39,32,26,21,16,13
36,Ohio,2876,215,201,186,170,153,138,123,108,95,83,72
37,Michigan,6198,105,82,64,49,38,29,22,17,13,10,7
38,South Dakota,93,4,3,2,2,1,1,1,0,0,0,0
39,Arkansas,277,54,60,64,65,63,59,53,46,39,33,26
40,Delaware,509,11,8,6,4,2,2,1,0,0,0,0
41,Mississippi,1082,117,114,108,101,92,83,73,63,54,46,38
42,New Mexico,500,35,32,28,25,22,19,16,14,12,10,8
43,North Dakota,80,4,3,2,2,1,1,0,0,0,0,0
44,Wyoming,20,2,2,2,2,2,2,1,1,1,1,1
45,Alaska,14,2,2,2,2,2,2,2,2,2,2,2
46,Maine,105,7,6,6,5,5,4,3,3,3,2,2
47,Alabama,972,140,146,147,143,135,124,111,97,83,70,59
48,Idaho,92,29,47,70,92,107,112,105,92,75,58,43
49,Montana,22,6,10,15,23,32,43,54,64,71,74,72
50,Puerto Rico,153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,93,7,7,7,6,6,6,5,5,5,4,4
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
