,Region,439,444
0,Belgium,,36594
1,Bulgaria,,20941
2,Czechia,,25949
3,Denmark,,5091
4,Germany,,101109
5,Estonia,,3235
6,Ireland,,3383
7,Greece,,21119
8,Spain,,39146
9,France,,344208
10,Croatia,,14788
11,Italy,,122806
12,Cyprus,,3238
13,Latvia,,2883
14,Lithuania,,6506
15,Luxembourg,,1566
16,Hungary,,46307
17,Malta,,164
18,Netherlands,,51626
19,Austria,,22480
20,Poland,,193646
21,Portugal,,2543
22,Romania,,37180
23,Slovenia,,7845
24,Slovakia,,5594
25,Finland,,2610
26,Sweden,,39112
27,United Kingdom,,18272
28,Iceland,,48
29,Liechtenstein,,38
30,Norway,,4710
31,Switzerland,,13322
