,Region,551,556
0,Belgium,,9414
1,Bulgaria,,739
2,Czechia,,1075
3,Denmark,,5743
4,Germany,,11758
5,Estonia,,747
6,Ireland,,10232
7,Greece,,18086
8,Spain,,176057
9,France,,155219
10,Croatia,,1147
11,Italy,,38852
12,Cyprus,,5834
13,Latvia,,339
14,Lithuania,,1573
15,Luxembourg,,482
16,Hungary,,356
17,Malta,,1409
18,Netherlands,,45798
19,Austria,,3017
20,Poland,,702
21,Portugal,,22250
22,Romania,,825
23,Slovenia,,486
24,Slovakia,,302
25,Finland,,3320
26,Sweden,,2483
27,United Kingdom,,273114
28,Iceland,,617
29,Liechtenstein,,5
30,Norway,,1361
31,Switzerland,,5305
