,Region,712,717
0,Belgium,,11800
1,Bulgaria,,14064
2,Czechia,,24178
3,Denmark,,159663
4,Germany,,159922
5,Estonia,,6524
6,Ireland,,127786
7,Greece,,206786
8,Spain,,697950
9,France,,1581394
10,Croatia,,28330
11,Italy,,974293
12,Cyprus,,27337
13,Latvia,,5732
14,Lithuania,,11850
15,Luxembourg,,5904
16,Hungary,,9688
17,Malta,,8286
18,Netherlands,,121548
19,Austria,,24827
20,Poland,,57794
21,Portugal,,192048
22,Romania,,10543
23,Slovenia,,11315
24,Slovakia,,13268
25,Finland,,14707
26,Sweden,,40767
27,United Kingdom,,1367159
28,Iceland,,6563
29,Liechtenstein,,266
30,Norway,,22357
31,Switzerland,,89608
