,Region,642,647
0,Belgium,,27770
1,Bulgaria,,32144
2,Czechia,,26397
3,Denmark,,9662
4,Germany,,96092
5,Estonia,,11500
6,Ireland,,15591
7,Greece,,24870
8,Spain,,12004
9,France,,41264
10,Croatia,,21400
11,Italy,,26631
12,Cyprus,,806
13,Latvia,,19777
14,Lithuania,,20779
15,Luxembourg,,940
16,Hungary,,11077
17,Malta,,101
18,Netherlands,,44631
19,Austria,,28719
20,Poland,,40781
21,Portugal,,5624
22,Romania,,108380
23,Slovenia,,14863
24,Slovakia,,24443
25,Finland,,2310
26,Sweden,,3202
27,United Kingdom,,344516
28,Iceland,,438
29,Liechtenstein,,30
30,Norway,,4872
31,Switzerland,,6082
