,Region,544,549
0,Belgium,,12646
1,Bulgaria,,541
2,Czechia,,1526
3,Denmark,,8399
4,Germany,,10245
5,Estonia,,422
6,Ireland,,7934
7,Greece,,19648
8,Spain,,178541
9,France,,85187
10,Croatia,,876
11,Italy,,22108
12,Cyprus,,7565
13,Latvia,,223
14,Lithuania,,703
15,Luxembourg,,696
16,Hungary,,275
17,Malta,,1925
18,Netherlands,,99063
19,Austria,,2734
20,Poland,,579
21,Portugal,,24641
22,Romania,,393
23,Slovenia,,280
24,Slovakia,,193
25,Finland,,2338
26,Sweden,,1696
27,United Kingdom,,364760
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,1032
31,Switzerland,,3228
