,Region,572,577
0,Belgium,,11422
1,Bulgaria,,6022
2,Czechia,,1308
3,Denmark,,7927
4,Germany,,39789
5,Estonia,,2134
6,Ireland,,13348
7,Greece,,24103
8,Spain,,61460
9,France,,101559
10,Croatia,,2282
11,Italy,,44100
12,Cyprus,,2119
13,Latvia,,744
14,Lithuania,,4034
15,Luxembourg,,215
16,Hungary,,393
17,Malta,,415
18,Netherlands,,14907
19,Austria,,6614
20,Poland,,1270
21,Portugal,,16173
22,Romania,,2633
23,Slovenia,,1480
24,Slovakia,,522
25,Finland,,6599
26,Sweden,,5582
27,United Kingdom,,195046
28,Iceland,,677
29,Liechtenstein,,74
30,Norway,,4029
31,Switzerland,,11438
