,Region,781,787
0,Belgium,,26386
1,Bulgaria,,9547
2,Czechia,,60234
3,Denmark,,64945
4,Germany,,1534958
5,Estonia,,11080
6,Ireland,,23587
7,Greece,,152833
8,Spain,,96902
9,France,,537061
10,Croatia,,10966
11,Italy,,390248
12,Cyprus,,22513
13,Latvia,,34257
14,Lithuania,,30131
15,Luxembourg,,6128
16,Hungary,,9933
17,Malta,,1013
18,Netherlands,,470401
19,Austria,,307638
20,Poland,,72616
21,Portugal,,95863
22,Romania,,15630
23,Slovenia,,15825
24,Slovakia,,69777
25,Finland,,92972
26,Sweden,,9320
27,United Kingdom,,554786
28,Iceland,,19041
29,Liechtenstein,,1555
30,Norway,,30388
31,Switzerland,,225451
