,Region,593,598
0,Belgium,,12650
1,Bulgaria,,9578
2,Czechia,,1918
3,Denmark,,3891
4,Germany,,72952
5,Estonia,,2370
6,Ireland,,8766
7,Greece,,15584
8,Spain,,22907
9,France,,83221
10,Croatia,,5127
11,Italy,,38637
12,Cyprus,,1504
13,Latvia,,2745
14,Lithuania,,5190
15,Luxembourg,,509
16,Hungary,,1429
17,Malta,,384
18,Netherlands,,17597
19,Austria,,12130
20,Poland,,2339
21,Portugal,,9430
22,Romania,,11098
23,Slovenia,,4381
24,Slovakia,,1615
25,Finland,,5038
26,Sweden,,7486
27,United Kingdom,,261011
28,Iceland,,221
29,Liechtenstein,,73
30,Norway,,11381
31,Switzerland,,16171
