,Region,600,605
0,Belgium,,11445
1,Bulgaria,,9858
2,Czechia,,2845
3,Denmark,,2483
4,Germany,,79215
5,Estonia,,3287
6,Ireland,,8583
7,Greece,,12202
8,Spain,,13786
9,France,,45988
10,Croatia,,6597
11,Italy,,30424
12,Cyprus,,887
13,Latvia,,3254
14,Lithuania,,6559
15,Luxembourg,,510
16,Hungary,,1888
17,Malta,,275
18,Netherlands,,14709
19,Austria,,14709
20,Poland,,3586
21,Portugal,,6073
22,Romania,,18290
23,Slovenia,,6904
24,Slovakia,,3403
25,Finland,,3715
26,Sweden,,5660
27,United Kingdom,,233344
28,Iceland,,115
29,Liechtenstein,,50
30,Norway,,7414
31,Switzerland,,18676
