,Region,802,808
0,Belgium,,95793
1,Bulgaria,,5721
2,Czechia,,33746
3,Denmark,,16571
4,Germany,,1646132
5,Estonia,,5628
6,Ireland,,54439
7,Greece,,150209
8,Spain,,100419
9,France,,1111948
10,Croatia,,7322
11,Italy,,472931
12,Cyprus,,35685
13,Latvia,,8585
14,Lithuania,,12302
15,Luxembourg,,10012
16,Hungary,,13923
17,Malta,,4817
18,Netherlands,,115739
19,Austria,,152072
20,Poland,,18607
21,Portugal,,62318
22,Romania,,16561
23,Slovenia,,16941
24,Slovakia,,36964
25,Finland,,27864
26,Sweden,,4948
27,United Kingdom,,404011
28,Iceland,,1171
29,Liechtenstein,,309
30,Norway,,7704
31,Switzerland,,50799
