,Region,830,836
0,Belgium,,2130
1,Bulgaria,,3227
2,Czechia,,5972
3,Denmark,,4796
4,Germany,,481283
5,Estonia,,1292
6,Ireland,,3874
7,Greece,,44733
8,Spain,,95736
9,France,,236746
10,Croatia,,5121
11,Italy,,346251
12,Cyprus,,8394
13,Latvia,,2681
14,Lithuania,,2569
15,Luxembourg,,3187
16,Hungary,,10271
17,Malta,,905
18,Netherlands,,12142
19,Austria,,33243
20,Poland,,4362
21,Portugal,,71551
22,Romania,,6087
23,Slovenia,,6060
24,Slovakia,,12702
25,Finland,,5572
26,Sweden,,2378
27,United Kingdom,,49596
28,Iceland,,1321
29,Liechtenstein,,78
30,Norway,,1665
31,Switzerland,,74
