,Region,733,738
0,Belgium,,237120
1,Bulgaria,,58108
2,Czechia,,192923
3,Denmark,,330354
4,Germany,,898226
5,Estonia,,30468
6,Ireland,,10241
7,Greece,,134378
8,Spain,,843498
9,France,,2779353
10,Croatia,,62868
11,Italy,,1135917
12,Cyprus,,10657
13,Latvia,,40250
14,Lithuania,,49954
15,Luxembourg,,15237
16,Hungary,,86472
17,Malta,,1159
18,Netherlands,,436346
19,Austria,,189899
20,Poland,,275005
21,Portugal,,384137
22,Romania,,142459
23,Slovenia,,85482
24,Slovakia,,64228
25,Finland,,5335
26,Sweden,,238268
27,United Kingdom,,479313
28,Iceland,,9688
29,Liechtenstein,,761
30,Norway,,128055
31,Switzerland,,202493
