,Region,474,479
0,Belgium,,17725
1,Bulgaria,,2825
2,Czechia,,7485
3,Denmark,,7010
4,Germany,,78256
5,Estonia,,2234
6,Ireland,,3069
7,Greece,,14348
8,Spain,,28863
9,France,,91999
10,Croatia,,6346
11,Italy,,52522
12,Cyprus,,1807
13,Latvia,,5351
14,Lithuania,,8680
15,Luxembourg,,691
16,Hungary,,6072
17,Malta,,61
18,Netherlands,,46510
19,Austria,,6161
20,Poland,,23518
21,Portugal,,1959
22,Romania,,6201
23,Slovenia,,3250
24,Slovakia,,1554
25,Finland,,1590
26,Sweden,,27716
27,United Kingdom,,13869
28,Iceland,,3
29,Liechtenstein,,19
30,Norway,,2771
31,Switzerland,,6592
