,Region,663,668
0,Belgium,,61463
1,Bulgaria,,15563
2,Czechia,,90227
3,Denmark,,24486
4,Germany,,296699
5,Estonia,,4457
6,Ireland,,34630
7,Greece,,48953
8,Spain,,21806
9,France,,88630
10,Croatia,,38544
11,Italy,,58399
12,Cyprus,,1679
13,Latvia,,5333
14,Lithuania,,12403
15,Luxembourg,,1553
16,Hungary,,52654
17,Malta,,313
18,Netherlands,,111459
19,Austria,,89223
20,Poland,,110820
21,Portugal,,11923
22,Romania,,19236
23,Slovenia,,22083
24,Slovakia,,44928
25,Finland,,6062
26,Sweden,,5577
27,United Kingdom,,261897
28,Iceland,,1116
29,Liechtenstein,,102
30,Norway,,12672
31,Switzerland,,22864
