,Region,467,472
0,Belgium,,17898
1,Bulgaria,,4338
2,Czechia,,11355
3,Denmark,,4911
4,Germany,,95748
5,Estonia,,2198
6,Ireland,,3564
7,Greece,,11044
8,Spain,,42719
9,France,,128321
10,Croatia,,9742
11,Italy,,73043
12,Cyprus,,2941
13,Latvia,,4616
14,Lithuania,,8360
15,Luxembourg,,978
16,Hungary,,9196
17,Malta,,84
18,Netherlands,,38295
19,Austria,,11358
20,Poland,,26957
21,Portugal,,2337
22,Romania,,7171
23,Slovenia,,4592
24,Slovakia,,2760
25,Finland,,1041
26,Sweden,,28156
27,United Kingdom,,13629
28,Iceland,,68
29,Liechtenstein,,56
30,Norway,,2310
31,Switzerland,,11632
