,Region,746,752
0,Belgium,,338485
1,Bulgaria,,46168
2,Czechia,,262416
3,Denmark,,305034
4,Germany,,1461169
5,Estonia,,54863
6,Ireland,,32083
7,Greece,,115853
8,Spain,,270157
9,France,,1239254
10,Croatia,,40699
11,Italy,,521166
12,Cyprus,,19707
13,Latvia,,75070
14,Lithuania,,92604
15,Luxembourg,,11366
16,Hungary,,120881
17,Malta,,1239
18,Netherlands,,546568
19,Austria,,264894
20,Poland,,339921
21,Portugal,,312329
22,Romania,,235900
23,Slovenia,,113062
24,Slovakia,,173804
25,Finland,,39290
26,Sweden,,191115
27,United Kingdom,,782772
28,Iceland,,8439
29,Liechtenstein,,936
30,Norway,,140157
31,Switzerland,,242024
