,Region,649,654
0,Belgium,,53201
1,Bulgaria,,33274
2,Czechia,,45460
3,Denmark,,14764
4,Germany,,145370
5,Estonia,,14089
6,Ireland,,18079
7,Greece,,27219
8,Spain,,10851
9,France,,44647
10,Croatia,,29669
11,Italy,,35886
12,Cyprus,,795
13,Latvia,,18382
14,Lithuania,,21249
15,Luxembourg,,1186
16,Hungary,,24257
17,Malta,,108
18,Netherlands,,60946
19,Austria,,43453
20,Poland,,62021
21,Portugal,,5431
22,Romania,,68392
23,Slovenia,,18662
24,Slovakia,,32369
25,Finland,,4301
26,Sweden,,5462
27,United Kingdom,,267716
28,Iceland,,619
29,Liechtenstein,,54
30,Norway,,7791
31,Switzerland,,10121
