,Region,726,731
0,Belgium,,198666
1,Bulgaria,,39301
2,Czechia,,71436
3,Denmark,,177411
4,Germany,,482284
5,Estonia,,17578
6,Ireland,,98375
7,Greece,,151657
8,Spain,,1061672
9,France,,2523795
10,Croatia,,61575
11,Italy,,1409285
12,Cyprus,,20645
13,Latvia,,17250
14,Lithuania,,28188
15,Luxembourg,,10750
16,Hungary,,51443
17,Malta,,2188
18,Netherlands,,286531
19,Austria,,130985
20,Poland,,95399
21,Portugal,,254706
22,Romania,,74011
23,Slovenia,,55543
24,Slovakia,,18432
25,Finland,,71115
26,Sweden,,189925
27,United Kingdom,,492371
28,Iceland,,9372
29,Liechtenstein,,610
30,Norway,,83118
31,Switzerland,,228301
