,Region,684,689
0,Belgium,,148767
1,Bulgaria,,10347
2,Czechia,,95338
3,Denmark,,32039
4,Germany,,379300
5,Estonia,,2636
6,Ireland,,35929
7,Greece,,37137
8,Spain,,77674
9,France,,372286
10,Croatia,,22033
11,Italy,,116088
12,Cyprus,,3793
13,Latvia,,3893
14,Lithuania,,11451
15,Luxembourg,,2923
16,Hungary,,59040
17,Malta,,733
18,Netherlands,,160985
19,Austria,,32786
20,Poland,,161298
21,Portugal,,26651
22,Romania,,5835
23,Slovenia,,9470
24,Slovakia,,73927
25,Finland,,9091
26,Sweden,,15209
27,United Kingdom,,332865
28,Iceland,,790
29,Liechtenstein,,429
30,Norway,,27146
31,Switzerland,,62183
