,Region,719,724
0,Belgium,,91587
1,Bulgaria,,32184
2,Czechia,,48348
3,Denmark,,164424
4,Germany,,342305
5,Estonia,,12246
6,Ireland,,162558
7,Greece,,287909
8,Spain,,932055
9,France,,2185229
10,Croatia,,54429
11,Italy,,1514133
12,Cyprus,,37558
13,Latvia,,10910
14,Lithuania,,24074
15,Luxembourg,,9378
16,Hungary,,24148
17,Malta,,6300
18,Netherlands,,242882
19,Austria,,67192
20,Poland,,75775
21,Portugal,,226565
22,Romania,,41544
23,Slovenia,,29526
24,Slovakia,,19612
25,Finland,,56427
26,Sweden,,102870
27,United Kingdom,,1279556
28,Iceland,,9998
29,Liechtenstein,,483
30,Norway,,55067
31,Switzerland,,145678
