,Region,481,486
0,Belgium,,16657
1,Bulgaria,,1498
2,Czechia,,5139
3,Denmark,,8059
4,Germany,,43326
5,Estonia,,1436
6,Ireland,,2512
7,Greece,,12524
8,Spain,,22524
9,France,,79088
10,Croatia,,3611
11,Italy,,33353
12,Cyprus,,748
13,Latvia,,3287
14,Lithuania,,6897
15,Luxembourg,,538
16,Hungary,,4229
17,Malta,,6
18,Netherlands,,29871
19,Austria,,3916
20,Poland,,11979
21,Portugal,,2629
22,Romania,,3166
23,Slovenia,,2375
24,Slovakia,,1517
25,Finland,,1414
26,Sweden,,21076
27,United Kingdom,,14614
28,Iceland,,12
29,Liechtenstein,,8
30,Norway,,2828
31,Switzerland,,6382
