,Region,740,745
0,Belgium,,445064
1,Bulgaria,,60395
2,Czechia,,249129
3,Denmark,,379405
4,Germany,,1138751
5,Estonia,,50761
6,Ireland,,13193
7,Greece,,111278
8,Spain,,579925
9,France,,2197514
10,Croatia,,61875
11,Italy,,790327
12,Cyprus,,12691
13,Latvia,,62703
14,Lithuania,,81315
15,Luxembourg,,16635
16,Hungary,,118343
17,Malta,,1194
18,Netherlands,,523187
19,Austria,,255833
20,Poland,,418458
21,Portugal,,415960
22,Romania,,226814
23,Slovenia,,119511
24,Slovakia,,134620
25,Finland,,19789
26,Sweden,,322694
27,United Kingdom,,524907
28,Iceland,,9262
29,Liechtenstein,,1110
30,Norway,,165632
31,Switzerland,,262166
