,Region,460,465
0,Belgium,,22248
1,Bulgaria,,7651
2,Czechia,,12178
3,Denmark,,5040
4,Germany,,123483
5,Estonia,,2002
6,Ireland,,2934
7,Greece,,15330
8,Spain,,54553
9,France,,184353
10,Croatia,,12811
11,Italy,,80861
12,Cyprus,,7031
13,Latvia,,3692
14,Lithuania,,7529
15,Luxembourg,,1090
16,Hungary,,11990
17,Malta,,122
18,Netherlands,,54437
19,Austria,,14339
20,Poland,,39322
21,Portugal,,3093
22,Romania,,11403
23,Slovenia,,3952
24,Slovakia,,3006
25,Finland,,1187
26,Sweden,,28336
27,United Kingdom,,15504
28,Iceland,,110
29,Liechtenstein,,62
30,Norway,,2007
31,Switzerland,,10568
