,Region,774,780
0,Belgium,,18954
1,Bulgaria,,7954
2,Czechia,,50088
3,Denmark,,65224
4,Germany,,979733
5,Estonia,,24770
6,Ireland,,18690
7,Greece,,94125
8,Spain,,91397
9,France,,385380
10,Croatia,,6369
11,Italy,,223926
12,Cyprus,,12438
13,Latvia,,45298
14,Lithuania,,22446
15,Luxembourg,,4107
16,Hungary,,10746
17,Malta,,651
18,Netherlands,,477374
19,Austria,,214123
20,Poland,,58517
21,Portugal,,69804
22,Romania,,24255
23,Slovenia,,12700
24,Slovakia,,64369
25,Finland,,15068
26,Sweden,,8696
27,United Kingdom,,276637
28,Iceland,,16117
29,Liechtenstein,,1194
30,Norway,,59804
31,Switzerland,,122173
