,Region,809,815
0,Belgium,,72492
1,Bulgaria,,3047
2,Czechia,,23761
3,Denmark,,12882
4,Germany,,729121
5,Estonia,,4200
6,Ireland,,13283
7,Greece,,74951
8,Spain,,2217
9,France,,897344
10,Croatia,,5166
11,Italy,,433080
12,Cyprus,,12889
13,Latvia,,3084
14,Lithuania,,7378
15,Luxembourg,,5716
16,Hungary,,12829
17,Malta,,5605
18,Netherlands,,40654
19,Austria,,61525
20,Poland,,1471
21,Portugal,,55339
22,Romania,,9181
23,Slovenia,,11945
24,Slovakia,,22035
25,Finland,,24779
26,Sweden,,2358
27,United Kingdom,,222956
28,Iceland,,395
29,Liechtenstein,,111
30,Norway,,5097
31,Switzerland,,7841
