,Region,516,521
0,Belgium,,1328
1,Bulgaria,,429
2,Czechia,,443
3,Denmark,,973
4,Germany,,2647
5,Estonia,,201
6,Ireland,,2282
7,Greece,,1840
8,Spain,,18320
9,France,,9493
10,Croatia,,378
11,Italy,,5027
12,Cyprus,,513
13,Latvia,,465
14,Lithuania,,248
15,Luxembourg,,25
16,Hungary,,189
17,Malta,,4
18,Netherlands,,3969
19,Austria,,511
20,Poland,,1014
21,Portugal,,8801
22,Romania,,309
23,Slovenia,,198
24,Slovakia,,160
25,Finland,,435
26,Sweden,,311
27,United Kingdom,,73869
28,Iceland,,0
29,Liechtenstein,,1
30,Norway,,1142
31,Switzerland,,585
