,Region,453,458
0,Belgium,,21529
1,Bulgaria,,10121
2,Czechia,,12437
3,Denmark,,5393
4,Germany,,109385
5,Estonia,,2616
6,Ireland,,2245
7,Greece,,17956
8,Spain,,60588
9,France,,370525
10,Croatia,,14696
11,Italy,,82409
12,Cyprus,,5221
13,Latvia,,3412
14,Lithuania,,7362
15,Luxembourg,,1202
16,Hungary,,19528
17,Malta,,309
18,Netherlands,,58465
19,Austria,,14758
20,Poland,,70756
21,Portugal,,3108
22,Romania,,16876
23,Slovenia,,3913
24,Slovakia,,3768
25,Finland,,1728
26,Sweden,,39808
27,United Kingdom,,15788
28,Iceland,,9
29,Liechtenstein,,77
30,Norway,,2447
31,Switzerland,,14168
