,Region,614,619
0,Belgium,,13098
1,Bulgaria,,10500
2,Czechia,,3359
3,Denmark,,2485
4,Germany,,47016
5,Estonia,,3787
6,Ireland,,9857
7,Greece,,13096
8,Spain,,9886
9,France,,30855
10,Croatia,,7782
11,Italy,,19635
12,Cyprus,,795
13,Latvia,,5060
14,Lithuania,,10730
15,Luxembourg,,531
16,Hungary,,3005
17,Malta,,71
18,Netherlands,,10160
19,Austria,,9023
20,Poland,,5778
21,Portugal,,3662
22,Romania,,56607
23,Slovenia,,4664
24,Slovakia,,6734
25,Finland,,3225
26,Sweden,,2005
27,United Kingdom,,249452
28,Iceland,,227
29,Liechtenstein,,30
30,Norway,,3388
31,Switzerland,,5479
