,Region,530,535
0,Belgium,,4215
1,Bulgaria,,441
2,Czechia,,1082
3,Denmark,,2652
4,Germany,,2803
5,Estonia,,195
6,Ireland,,3355
7,Greece,,5639
8,Spain,,61235
9,France,,20063
10,Croatia,,496
11,Italy,,4913
12,Cyprus,,4213
13,Latvia,,360
14,Lithuania,,202
15,Luxembourg,,547
16,Hungary,,74
17,Malta,,64
18,Netherlands,,7445
19,Austria,,415
20,Poland,,376
21,Portugal,,17945
22,Romania,,193
23,Slovenia,,111
24,Slovakia,,118
25,Finland,,1500
26,Sweden,,995
27,United Kingdom,,213176
28,Iceland,,0
29,Liechtenstein,,10
30,Norway,,1234
31,Switzerland,,420
