,Region,656,661
0,Belgium,,56591
1,Bulgaria,,28773
2,Czechia,,68656
3,Denmark,,18225
4,Germany,,193366
5,Estonia,,11486
6,Ireland,,26194
7,Greece,,47474
8,Spain,,11343
9,France,,62913
10,Croatia,,38513
11,Italy,,43721
12,Cyprus,,1317
13,Latvia,,10067
14,Lithuania,,18125
15,Luxembourg,,875
16,Hungary,,35981
17,Malta,,350
18,Netherlands,,81422
19,Austria,,67902
20,Poland,,104436
21,Portugal,,8060
22,Romania,,37247
23,Slovenia,,23746
24,Slovakia,,41411
25,Finland,,4556
26,Sweden,,5380
27,United Kingdom,,200800
28,Iceland,,693
29,Liechtenstein,,97
30,Norway,,10764
31,Switzerland,,15029
