,Region,816,822
0,Belgium,,50203
1,Bulgaria,,2918
2,Czechia,,8283
3,Denmark,,9511
4,Germany,,219016
5,Estonia,,2026
6,Ireland,,5582
7,Greece,,42916
8,Spain,,5779
9,France,,736863
10,Croatia,,3084
11,Italy,,397830
12,Cyprus,,5108
13,Latvia,,3621
14,Lithuania,,5763
15,Luxembourg,,4849
16,Hungary,,13232
17,Malta,,2558
18,Netherlands,,5665
19,Austria,,44284
20,Poland,,3679
21,Portugal,,78841
22,Romania,,6525
23,Slovenia,,7329
24,Slovakia,,8744
25,Finland,,19686
26,Sweden,,3335
27,United Kingdom,,136910
28,Iceland,,211
29,Liechtenstein,,250
30,Norway,,2292
31,Switzerland,,140
