,Region,537,542
0,Belgium,,6125
1,Bulgaria,,255
2,Czechia,,1715
3,Denmark,,5084
4,Germany,,5486
5,Estonia,,284
6,Ireland,,4312
7,Greece,,15825
8,Spain,,135562
9,France,,34229
10,Croatia,,518
11,Italy,,9463
12,Cyprus,,7602
13,Latvia,,173
14,Lithuania,,349
15,Luxembourg,,1187
16,Hungary,,151
17,Malta,,614
18,Netherlands,,60376
19,Austria,,1217
20,Poland,,442
21,Portugal,,21531
22,Romania,,221
23,Slovenia,,506
24,Slovakia,,258
25,Finland,,1921
26,Sweden,,1729
27,United Kingdom,,257499
28,Iceland,,0
29,Liechtenstein,,15
30,Norway,,1266
31,Switzerland,,1685
