,Region,607,612
0,Belgium,,12435
1,Bulgaria,,10092
2,Czechia,,3378
3,Denmark,,1472
4,Germany,,60651
5,Estonia,,3367
6,Ireland,,8399
7,Greece,,14652
8,Spain,,12313
9,France,,40410
10,Croatia,,8861
11,Italy,,24849
12,Cyprus,,401
13,Latvia,,3659
14,Lithuania,,8586
15,Luxembourg,,575
16,Hungary,,2587
17,Malta,,172
18,Netherlands,,12759
19,Austria,,14860
20,Poland,,4717
21,Portugal,,4594
22,Romania,,34391
23,Slovenia,,7536
24,Slovakia,,5763
25,Finland,,2271
26,Sweden,,7062
27,United Kingdom,,181464
28,Iceland,,174
29,Liechtenstein,,8
30,Norway,,3932
31,Switzerland,,11426
