,Region,691,696
0,Belgium,,89502
1,Bulgaria,,8516
2,Czechia,,73214
3,Denmark,,51372
4,Germany,,318288
5,Estonia,,3091
6,Ireland,,29154
7,Greece,,32007
8,Spain,,98276
9,France,,384281
10,Croatia,,19122
11,Italy,,137115
12,Cyprus,,4122
13,Latvia,,4078
14,Lithuania,,10296
15,Luxembourg,,2663
16,Hungary,,30461
17,Malta,,624
18,Netherlands,,107854
19,Austria,,13770
20,Poland,,145771
21,Portugal,,29180
22,Romania,,5697
23,Slovenia,,7326
24,Slovakia,,44964
25,Finland,,8942
26,Sweden,,18206
27,United Kingdom,,386017
28,Iceland,,711
29,Liechtenstein,,473
30,Norway,,36799
31,Switzerland,,71121
