,Region,565,570
0,Belgium,,10484
1,Bulgaria,,3430
2,Czechia,,1154
3,Denmark,,6957
4,Germany,,25808
5,Estonia,,1544
6,Ireland,,12039
7,Greece,,19209
8,Spain,,94972
9,France,,166274
10,Croatia,,1569
11,Italy,,44403
12,Cyprus,,2749
13,Latvia,,520
14,Lithuania,,3616
15,Luxembourg,,273
16,Hungary,,310
17,Malta,,308
18,Netherlands,,13659
19,Austria,,3825
20,Poland,,1095
21,Portugal,,13828
22,Romania,,1821
23,Slovenia,,879
24,Slovakia,,336
25,Finland,,6421
26,Sweden,,4692
27,United Kingdom,,188868
28,Iceland,,794
29,Liechtenstein,,25
30,Norway,,3535
31,Switzerland,,6064
