,Region,774,780
0,Belgium,,84
1,Bulgaria,,283
2,Czechia,,407
3,Denmark,,370
4,Germany,,1498
5,Estonia,,95
6,Ireland,,49
7,Greece,,373
8,Spain,,880
9,France,,1066
10,Croatia,,147
11,Italy,,1069
12,Cyprus,,30
13,Latvia,,134
14,Lithuania,,193
15,Luxembourg,,7
16,Hungary,,466
17,Malta,,5
18,Netherlands,,56
19,Austria,,206
20,Poland,,971
21,Portugal,,141
22,Romania,,503
23,Slovenia,,67
24,Slovakia,,242
25,Finland,,2
26,Sweden,,398
27,United Kingdom,,552
28,Iceland,,5
29,Liechtenstein,,0
30,Norway,,0
31,Switzerland,,73
