,Region,656,661
0,Belgium,,159
1,Bulgaria,,1087
2,Czechia,,319
3,Denmark,,46
4,Germany,,798
5,Estonia,,91
6,Ireland,,35
7,Greece,,382
8,Spain,,107
9,France,,207
10,Croatia,,342
11,Italy,,292
12,Cyprus,,0
13,Latvia,,326
14,Lithuania,,228
15,Luxembourg,,3
16,Hungary,,565
17,Malta,,2
18,Netherlands,,177
19,Austria,,194
20,Poland,,865
21,Portugal,,55
22,Romania,,2849
23,Slovenia,,89
24,Slovakia,,232
25,Finland,,45
26,Sweden,,40
27,United Kingdom,,1042
28,Iceland,,1
29,Liechtenstein,,0
30,Norway,,20
31,Switzerland,,46
