,Region,642,647
0,Belgium,,122
1,Bulgaria,,757
2,Czechia,,83
3,Denmark,,13
4,Germany,,455
5,Estonia,,48
6,Ireland,,88
7,Greece,,275
8,Spain,,174
9,France,,164
10,Croatia,,171
11,Italy,,255
12,Cyprus,,8
13,Latvia,,163
14,Lithuania,,200
15,Luxembourg,,3
16,Hungary,,175
17,Malta,,0
18,Netherlands,,72
19,Austria,,83
20,Poland,,417
21,Portugal,,31
22,Romania,,3444
23,Slovenia,,61
24,Slovakia,,24
25,Finland,,21
26,Sweden,,28
27,United Kingdom,,1022
28,Iceland,,0
29,Liechtenstein,,1
30,Norway,,1
31,Switzerland,,14
