,Region,816,822
0,Belgium,,162
1,Bulgaria,,58
2,Czechia,,61
3,Denmark,,60
4,Germany,,510
5,Estonia,,22
6,Ireland,,102
7,Greece,,435
8,Spain,,47
9,France,,957
10,Croatia,,32
11,Italy,,925
12,Cyprus,,25
13,Latvia,,36
14,Lithuania,,39
15,Luxembourg,,7
16,Hungary,,139
17,Malta,,21
18,Netherlands,,74
19,Austria,,156
20,Poland,,120
21,Portugal,,125
22,Romania,,102
23,Slovenia,,21
24,Slovakia,,188
25,Finland,,201
26,Sweden,,46
27,United Kingdom,,3621
28,Iceland,,2
29,Liechtenstein,,0
30,Norway,,82
31,Switzerland,,32
